stage,axial,blastomeres,endoderm,epidermis,eye,glial,heart,immune,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,178.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,149.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.63,3.7,15.04,0,7.85,0,0,0,0,0,0,72.33,0,0,13.77,0,0,0,0,0,0
 10-12,0,4.32,9.04,0,5.35,0,0,0,0,0,0,88.88,0,0,7.9,0,0,38.66,0,0,0
 14-21,0,0,0,2.62,0,0.83,0,0,0,3.94,0,21.16,1.7,0,1,0,3.28,0,0,10.39,0
 24-34,0,0,0,0.9,2.24,0,0,0.67,0,1.68,1.41,31.09,0,0,0,2.84,0,0,0.61,3.49,1.64
 36-46,0,0,0,0,7.8,0,0,0,0,0.67,0,16.88,0,0,0,0,0,2.21,0,0.97,0
 48-58,0,0,0,0,5.65,0.43,1.76,1.92,0.41,0.64,0,3.11,0,0,0,2,0,0,0,0,0.66
 60-70,0,0,0,0,4.4,0.87,0,1.38,0,2.1,1.13,2.08,0,0,0,0,0,0,0,1.31,0
 72-82,0,0,0,0,0.89,0,0,0,0,6.82,0,3.65,0,0.53,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0
 96-106,0,0,0,0,0.81,0,0,18.7,0,0,0,1.6,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.62,0,18.2,0,0.79,0,5.7,0,0,0,0,0,0,0,0,1.91
120,0,0,0,0,0,0,0,4.52,0,0,0,4.48,0,1.02,0,1.37,0,0,0,0,0
