stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,75.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,225.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.36,4.21,0,0,0,0,0,0,0,0,0,0,0,92.21,8.79,0,0,22.1,0,0,0,0,0,0,0
 10-12,0,0,9.75,0,0,0,0,0,0,0,0,0,0,78.26,0,0,0,80.3,0,0,5.3,0,0,0,0
 14-21,0,0,0,1.2,1.08,2.14,0,0,0,0,0,0,0,9.78,0,0,0,0,0,2.41,1.82,9.48,0,0,0
 24-34,0,0,0,0,0,1.43,0,1.45,0,0,0,0.81,3.16,65.28,0,0.9,0.83,0,0,0,0.9,12.54,0,1.26,0
 36-46,0,0,0,2,0,14.46,0,1.22,0,0,0,4.33,0,75.57,0,0,0,0,0,0,0,19.54,0,0,0
 48-58,0,0,0,0,0,15.68,0,4.89,0,0,0,2.13,0,56.62,0,1.13,0,0,2.26,0,0,12.87,0,0,0
 60-70,0,0,0,0,0,23.72,0,2.24,0,0,9.69,3.13,0.68,45.72,0,0,0,0,0,0,0,12.54,1.19,0,0.72
 72-82,0,0,0,0,0,15.4,0,0,0,0.53,0,6.28,0.96,35.09,0,0,0,0,0,0,0,3.29,0,0,0
 84-94,0,0,0,2.24,0,20.92,0,0,0.57,0,0,11.71,0,22.6,3.42,0.81,0,0,3.13,0,0,0.74,1.08,0,0
 96-106,0,0,0,1.7,0,6.36,0,2.28,0,0,1.98,3.05,0,7.9,0,0,0,0,0,0,0,4.16,0,0,0
108-118,0,0,0,3.15,0,7.24,0,5.76,0,0,0,3.91,0,27.32,0,0.77,0.41,0,0,0,0,2.82,0,0,0
120,0,0,0,1.2,0,26.64,1.11,0,0,0,0,11.31,0,45.46,0,0,0,0,0,0,0,0,0,1.96,0
