stage,fast.muscle,hatching.gland,neural,slow.muscle
 14-21,0,0,0,13.12
 24-34,0,0,0,1.01
 36-46,0,0,4.1,0
 60-70,0,1.77,0,0
108-118,0.9,0,0,0
120,0,0,19.72,0
