stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,107.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.14,601.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.74,0,0,0,0,0,0,0,0,0,0
  7-9,6.76,0,13.9,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,155.2,3.69,0,0,61.62,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.04,8.75,0,0,0,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.68,13.96,0,0,18.99,0,0,12.81,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.01,3.66,0,0,2.65,0,0,0,0.92,2.13,0,0,0,0,0,0,0,5.89,0,3.09,37.41,0,0,0,0,0,1.34,1.9,1.83,0,5.95,1.9,14.74,0,0,0,0
 24-34,0,0,0.75,3.95,0.92,0,5.05,0,0,0,0.9,0,0,0,0,0,0,0,0.63,15.93,0,3.69,83.73,1.76,0,0,0,0,0.72,0,0,0.98,0,0,11.3,0,0.74,0,0
 36-46,0,0,0,0,0,0,4.45,0,0,0,2.69,0,0,0,0,0,0,0,0,7,0,0.57,28.04,0,1.43,1.21,0,0,0,0,0,0,0,0,15.76,0,0.72,0,0
 48-58,0,0,0,0,0,0,8.96,0,0,0,4.47,0,0.38,0,0,0,0,0,0,9.52,0,0.48,24.66,0.39,0,0,0,0,0.49,0,0,0,0,0,7.78,0,2.8,0,0
 60-70,0,0,0,0,0,0,5.79,0,0,0,16.17,0,1.47,0,0,0,0,0,0,14.22,0,0,27.17,0,0,0,0,0,0.63,0,0,0,0,0,3.84,0,0.72,0,0
 72-82,0,0,0,1.32,0.59,0,8.75,0,2.44,0,20.08,0,0,0,0,0,0,0.79,0,28.46,0.54,2.31,28.73,0,1.23,1.97,0,0,0.99,0,0,0,0,0,5.87,0.99,0.71,2.01,0
 84-94,0,0,0,1.22,0,0,7.72,0,0,0.75,22.32,0.71,0.6,0,0,0,0,0,0,9.58,2.03,1,35.21,0,2.81,2.75,0,0,0,0,0,0,0,0,1.77,0.92,0,0,0.66
 96-106,0,0,0,1.99,3.93,0,10.71,0.64,2.14,0,26.4,0,0,1.62,2.81,0,1.45,0,0,33.82,0,2.04,43.37,0.62,0.74,1.12,0,1.03,0.76,0,0,0,0,0,0.99,0,1.84,0.69,0
108-118,0,0,0,9.2,0,0,12.55,1.3,2.03,1.28,23.68,0,2.32,0.42,0,4.74,0.59,2.23,1.02,17.33,1.31,3.32,39.37,0,2.55,0.91,0,0,0.54,0,0,1.1,0,0,3.06,0,3.12,0,2.09
120,0,0,0,11.29,0,1.71,26.4,0,1.06,0,18.47,0,0,3.52,0,0,2.53,0,4.02,53.64,0,3.45,78.3,6.46,0,1.43,0,0,0,0,0,0,1.22,0,10.16,0,0,0,0
