stage,axial,blastomeres,endoderm,epidermis,eye,glial,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,0,56.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,34.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.42,0,3.8,0,3.76,0,0,0,0,0,7.08,4.26,0,3.37,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,12.82,0,0,7.62,0,0,0,0,0,0
 14-21,0,0,0,0.87,0,0,0,0,0,0.88,3.12,0,0,0,0,0.81,0,0.85,0,0
 24-34,0,0,0,0,1.55,0.92,0,0,2.55,0,9.99,0,0,0,0.86,0,2.43,0,0,0
 36-46,0,0,0,0,1.63,0,0,0,0,1.9,14.29,0,0,0,6.12,0,0,0,0,0
 48-58,0,0,0,0,6.28,0,0,0,1.01,0,1.47,0,0,0,0,0,0,1.29,0,0
 60-70,0,0,0,0,1.63,0,0.66,0,0,0,2.18,0,0,0,0.78,0,0,0,0,0
 72-82,0,0,0,0,0.66,1.19,0,0,1.53,0,11.8,0,0,0,0,0,0,0,0.99,0
 84-94,0,0,0,0,0.81,1.01,0,0.57,0.79,0,0,0,0,0,6.87,0,0,0,0,0
 96-106,0,0,0,0.6,1.74,0,0,0,1.09,0,0,0,0,0,1.31,0,0,0,0,5.36
108-118,0,0,0,0,0,0,0,0,0,0,1.73,0.59,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,11.79,0,0,0,0,0,0,0
