stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.53,28.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.74,97.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.41,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,11.03,0,0,0,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,81.01,0,0,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.36,0,0,0,17.92,0,0,0,0,11.66,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.4,0.82,0,3.08,0,0,0,45.01,0,0,0,0,0,0,0,0,0,18.47,0,0,15.2,335.96,0,0,0,0,0,0,0,1.32,0,2.75,1.74,222.11,0,0,0,0,0
 24-34,0,0,0,7,0,0,17.48,0,0,0,233.56,0,0,0,0,0,0.8,0,6.18,0,111.34,0.68,0,53.21,3172.72,2.2,0.63,0.61,0,0,2,0,0,0,2.3,1.51,1170.48,0,0,5.55,0,0
 36-46,0,0,0,20.96,0,0,40.25,0,0,0,1285.67,0,0,2.13,0,0,3.97,0,0,0,266.27,0,2.05,79.97,4988.3,1.25,1.41,0,0,0,6.2,0,0,0.94,0,0,2430.55,0,0,2.49,0,11.26
 48-58,0,0,0,12.22,1.17,0,216.89,1.02,9.82,5.87,3219.48,0,0,0.77,0.98,0,0,0,0,0.71,677.25,0,3.28,48.35,2950.55,0,2.55,0,0,0,6.27,0.65,0,0,0.5,0,2423.01,0,0.89,1.38,0.81,10.26
 60-70,0,0,10.54,15.23,0,0,107.92,0,0,1.8,5592.34,0,0,0,2.4,0,6.06,0,0,8.58,895.76,0,14.96,11.82,1287.16,8.29,2.48,5.03,0,21.39,3.47,0,0,4.15,3.27,0,1071.7,0,2.46,0.65,1.15,26.04
 72-82,0,0,0,36.16,15.86,0,300.14,0,5.21,0.95,7015.64,6.32,0,0,0,0.53,0.57,0,0,0,1416.91,17.64,15.2,8.96,999.38,0,0,5.01,0,40.85,9.87,0,0,4.52,0,0,418.7,14.41,11.26,12.81,4.01,10.8
 84-94,0,0,0,25.2,1.92,0,362.84,4.39,2.31,1.13,4876.76,1.65,0,0.98,2.79,0,0,0,0,0,898.47,0,7.15,27.79,771.72,0,4.11,1.74,0,31.1,7.79,0,0,0.64,0,0,260.15,3.46,6.37,7.38,6.95,30.54
 96-106,0,0,0,72.18,28.01,0,390.96,5.84,6.73,9.61,5401.76,8.41,0,0.71,4.77,1.6,0,4.14,6.05,0,1187.1,0,7.89,30.61,760.05,3.49,3.1,4.14,0,62.7,22.63,0,0,0.69,0,0,192.69,1.76,9.32,4.68,8.39,10.3
108-118,0,0,0.8,15.2,4.84,0.53,126.13,4.91,0,10.84,5479.56,0,0,0.74,5.49,3.32,0,2.66,6.76,0,883.4,0,13.37,15.29,779.82,0,1.63,10.13,0,72.1,4.75,0,0,0,0,0,142.73,1.29,1.51,14.63,4.59,3.72
120,1.19,0,0,39.27,4.06,4.06,386.48,8.51,2.55,2.45,7750.55,2.18,0,0,5.56,0,0,2.64,11.02,0,1028.37,0,0,24.99,986.8,0,0,16.58,0,84.08,3.09,0,0,0,0,0,269.9,0,0,4.28,5.18,3.58
