stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,72.16,481.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.1,707.3,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,12.12,0,0,0,0,0,0,0,0,0
  7-9,13.45,0,0,3.59,0,0,39.54,0,0,0,0,0,8.48,0,0,0,0,0,0,0,0,0,403.86,0,0,0,101.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.6,0,0,44.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.03,9.57,0,0,88.33,0,0,8.5,0,27.35,0,0,0,0,0,0
 14-21,0,0,0,0.93,12.75,4.78,3.4,0,0,0,35.05,0,0,0,1.02,0,0,0,0,11.05,0,1.02,70.14,1.08,0,16.51,3.84,0,0,0.9,7.37,43.88,1.83,9.95,149.64,0,0,0
 24-34,0,0,0,1.2,13.52,0,6.95,0,0,0,46.18,0,0,0,0,0,2.85,0,0,7.46,0,0,93.51,1,20.5,5.11,0,0,0.82,0,0,17.04,0,3.5,102.76,0,0,0
 36-46,0,0,0,0,1.32,0,49.91,0,0,0,29,0,0,0,0,0,0,0,0,8.29,0,1.08,118.28,0,28.52,0,0,0,2.2,0,0,9.02,0,0,57.09,0,0,2.6
 48-58,0,0,0,0,3.56,0,40.87,2.91,0,0,36.92,1.27,0,0,0,0,4.65,0,0,7.3,1.23,0.55,133.36,0,40.7,6.48,0,0,1.56,0,0,4.32,0,0,80.5,0,0,0
 60-70,0,0,0,0,0,0,33.74,0,0.59,0,40.79,0.69,0,0,10.29,0.66,2.5,0,0,8.98,0,3.34,63.99,5.48,16.21,1.1,0,0.84,0.62,0,0,3.81,0,0,44.27,0,0,0
 72-82,0,0,1.23,0,3.65,0,24.84,0,0,0.54,33.45,2.33,0,0,0,0,4.34,0,0,2.7,0,0,15.2,0.72,27.97,7.43,0,0,0,0,0,2.07,0,0,19.33,0,0,0
 84-94,0,0,0,1.01,2.08,0,2.24,0,0,0,22.67,5.95,0,1.03,0.6,0.58,4.96,0,0,0.69,0,2.02,26.03,1.33,7.52,6,0,0,0,0,0,4.5,0,0,8.87,1.17,0,0
 96-106,0,0,0,0,0.96,2.85,11.81,0,0,0,16.98,2.64,0,1.23,0,1.2,11.74,0,0,7.39,0,0,12.68,0,21.92,15.83,0,0,0,0,0,0,0,0,13.56,0,0,0
108-118,0,0,0,0,2,0.94,14.38,0,0.58,0,17.61,1.15,0,2.83,0,0.79,5.22,0,0.95,5.58,0,0,20.16,0,19.64,9.56,0,0,0.91,0,0,5.45,0,0,10.7,0,0.6,0
120,0,0,0,0,7.38,1.39,42.11,0,0,0,11.13,0,0,0,2.21,3.6,11.08,3.16,0,0,0,1.93,22.46,0,35.79,7.15,0,0,0,0,0,5.91,0,0,2.98,0,0,0
