stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,115.38,1870.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.15,0,0,0,0,0,0
  5-6,215.32,2652.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.64,16.8,0,0,50.77,21.94,0,0,0,0,0,0
  7-9,51.57,35.36,21.96,0,0,49.34,0,0,0,0,25,0,0,0,0,0,0,0,749.02,19.12,0,0,272.25,3.29,0,0,0,0,0,0
 10-12,0,13.19,15.79,0,0,9.54,0,0,0,0,8.24,0,0,0,0,0,0,0,273.02,0,0,0,73.1,0,0,3.64,0,0,0,0
 14-21,0,0,0,7.52,0,1.85,0,0,0,1,0,0,0,0,0,0.86,0,0.89,20.94,0,0,0,2.41,8.09,2.24,0,6.91,0,0,0
 24-34,0,0,0,0,0,5.55,0,0,1.48,0,0,0,0,0,0,7.47,0.81,1.19,42.1,0.62,0,0,0,8.07,0,0,6.91,1.97,0,0.79
 36-46,0,0,0,0,0.57,4.47,1.88,0,0,0,0,0,0,0,0,2.77,0,3.4,23.92,0,0,0,0,6.51,0,0,3.79,0,0,0
 48-58,0,0,0.43,0.53,0,30.72,0,0,1.94,0,0,0,0,0,0,9.6,0,3.04,58.25,0,0,0,0,2.49,0,0,6.06,0,0,0
 60-70,0,0,0,2.14,0,40.09,0,0,0,0,0,0,0,0,2.97,13.68,0,0,46.62,0,0,0,0,0,0,0,7.07,0,0,0
 72-82,0,0,0,0,0,42.67,0,0,2.68,1.38,0,0.58,0.93,0,0,14.75,1.62,1.64,45.84,0,0,0,0,0,0,0,6.28,0,1.31,0
 84-94,0,0,0,1.31,0,9.64,0,4.05,0,0,0,0,0,0,0,4.56,0.83,2.03,12.19,0,0,0,0,2.27,0,0,1.57,0,6.45,0
 96-106,0,0,0,0,0,24.92,0,0,3.32,0,0,0.74,0,0,0,3.94,0,0,27.54,0,0,0,0,1.28,0,0,0,0,0.74,0
108-118,0,0,0,0.57,0,10.83,0,0.86,0,0,0,0,0,0.47,0,0.98,2.15,0,29.78,0,0,0,0,0.99,0,0,0,0,1.19,0
120,0,0,0,0,0,25.86,0,0,4.7,4.89,0,1.43,0,0,0,21.13,0,0,118.78,0,10.58,1.76,0,0,0,0,0,11.6,0,0
