stage,blastomeres,immune,neural,paraxial.mesoderm
  5-6,10.16,0,0,0
  7-9,0,0,17.57,0
 10-12,0,0,18.23,14.63
 48-58,0,0,1.91,0
108-118,0,0.71,0,0
120,0,0,6.77,0
