stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,143.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.48,143.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.17,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.55,0,0,0,50.35,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.09,0,0,33.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.84,0,0,0,45.93,0,0,0,4.19,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.92,6.65,0.96,4.69,0,0,0,0,0,1.15,0,0,0,0,0,0,6.27,0,0,2.79,30.71,0,0,0.94,0,0,0,0,8.14,0.85,0,3.73,21.95,0,0,0,0,0
 24-34,0,0,0,0.59,6.11,0,6.37,0,1.67,0,1.11,0,0,0,2.46,0,0,0,2.18,10.67,1.75,0,4.43,115.9,0,1.68,0.67,0,0,0,0,0,0.97,0,0.65,40.69,0,0,9.1,0,0
 36-46,0,0,0,0,0,0,10.73,0,0,0.93,7.86,0,1.45,0,1.72,0,0.99,0,3.28,14.68,0,0,0.6,149.77,0.58,5.32,0,0,0,0.62,0.81,0,1.16,4.05,0,47.34,0,0,0,0,2.77
 48-58,0,0,0,0,0.38,0,36.87,0,2.69,0.65,12.15,0,0,0.79,0,0,0.46,0,0,15.34,2.37,0.66,3.18,200.54,4.92,2.7,0.71,0,0,4.11,0,0,0,0,0,37.2,0,0,0.46,0,1.53
 60-70,0,0,0,0,5.57,2.21,102.87,1.8,0,0,31.71,0,0,1.1,0,0,0,0,2.33,20.85,0,0,2.07,222.74,0,0,0,0,0,3.27,0,0,0,0,0,42.75,0,0,1.75,0,0
 72-82,0,0,0,0,2.37,8.47,182.96,1.29,1.49,0.77,23.46,0,0,1.41,0,1.43,0,0,0,28.58,0,0,4.73,283.94,0,0,3.09,0,0,0.62,0,0,0.97,0,0,33.11,0.51,0,4.45,0,6.44
 84-94,0,0,0,0,3.16,19.71,94.6,1.46,1.13,1.36,13.38,1.25,0.88,2.23,0,8.17,1.23,0,2.28,32.62,0,0.86,2.67,169.35,0,7.03,0.83,0,0,13.49,0,0,0,0,0,25.7,0,0,2.66,0,1.57
 96-106,0,0,0,0,3.91,17.24,143.02,0.95,0,1.09,25.77,0,2.51,2.86,0,0,0.75,0.6,0.69,24,0,1.14,2.63,128.33,2.6,6.11,0.59,0,4.1,6.28,0,0,0,0,0,12.09,3.18,1.65,9.82,4.41,3.43
108-118,0,0,1.01,0.49,7.3,1.05,100.37,0,0.78,1.03,19.78,1.56,0,2.01,1.32,1.9,4.76,3.73,0,22.92,0,4.1,0.76,181.06,1.03,2.27,0,0,0,6.97,0,0,0.42,3.63,0,7.88,1.8,0,5.03,0,1.72
120,0,0,0,1.66,9.31,11.82,84.68,0,0,0,3.95,4.95,0,17.51,0,0,0,0,0,36.26,0,0,0,257.76,10.25,0,3.67,0,0,11.7,0,0,0,0,0,4.78,0,0,9.72,0,4.96
