stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,lateral.line,liver,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,pronephros,spinal.cord
  3-4,29.2,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,70.41,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,16.27,0,13.84,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.73,0,0,10.97,0
 14-21,0,0,0,0,5.54,0,0,0,0,1.72,0,0,2.55,18.81
 24-34,0,0,0,0,16.8,0,0,0,0,7.46,0,0,7.94,23.2
 36-46,0,0,2.53,0,10.61,0,0,1.1,0.63,13.38,0.72,0,8.66,12.18
 48-58,0,0,4.97,0,8.82,1.27,0,0,0,23.3,0.86,0,0,16.37
 60-70,0,0,8.67,0,7.5,0,5.7,0,0,39.01,0,0,0,26.04
 72-82,0,0,8.73,0,12.22,0,0,1.08,0,14.9,0.74,0,1.68,4.46
 84-94,0,0,1.8,0,2.98,0,0,0.62,0,24.41,0,0,1.64,1.97
 96-106,0,0,0,0,7.08,0,0,0,0,12.04,0,0,0.7,7.43
108-118,0,0,4.42,0,5.64,0,0,0,0,26.27,0.44,0,1.31,6.87
120,0,1.7,0,8.73,7.01,0,0,0,0,17.95,0,0,11.99,12.72
