stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.93,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,8.79,0,1.02,5.11,0,0,0,0
 24-34,0,0.59,0,0,1.79,0,0,0,0,0.92,0,1.41,0,0,0,8.3,0,0,1.31,14.09,0,0,0,22.22,0,0,1.86,0,7.75,0,0
 36-46,0,0,0.76,0,1.62,0,0,0.6,0,0,0,0.68,0,0,0,0,0,0,0,18.28,0,0,0,2.67,0,0,7.84,0,0,0,0
 48-58,0,0,0,0,5.83,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,42.01,0,0.86,6.64,6.91,0,0,2.41,0,0,0,0
 60-70,10.41,0,0,0,0.84,0.94,0,0,0,0,0,0.71,0,0,0.86,5.87,0,0,0,21.54,0,0,0,7.52,0,0,2.5,0,2.19,0,0
 72-82,0,0,1.03,6.38,8.4,0.55,0,12.53,1.24,0,0,0,1.33,0,0,9.03,0,0,0,42.56,2.3,1.7,0,8.68,0,0,10.44,0,1.44,0,0
 84-94,0,0,0.82,0,23.18,0,0,4.58,0.8,0,0,0.6,3.06,0,0,7.68,0,3.33,0,22.57,0,0,0,25.47,2.39,0,2,0,0,1.16,0
 96-106,0,0,12.45,0,17.1,0,0,1.67,0,0,0,0,0,0,0,5.11,2.82,0,0,24.17,0,1.76,0,49.39,0,0,1.96,0,6.17,0,0
108-118,1.15,0,1.06,0.42,7.02,0,0.47,2.57,0.5,0.69,0.85,2.73,0.65,0.73,0,7.62,0.7,0,0,17.88,0,0.42,0,30.48,0,0,0,0.99,0,0,0.94
120,0,0,11.55,0,0,0,3.94,16.82,0,0,2.76,8.38,0,0,0,12.27,0,0,5.1,38.44,0,0,0,19.4,0,0,0,0,0,0,0
