stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,163.75,6389.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.15,0,0,0,0,0,0,0,0,0,0
  5-6,120.61,1713.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.45,8.9,0,0,0,0,171.59,0,0,0,0,0,0,0,0,0,0
  7-9,48.61,28.41,0,26.53,0,0,0,76.82,0,0,0,0,0,43.06,0,0,0,0,0,0,0,0,0,0,0,629.8,109.11,0,0,173.98,0,9.07,17.8,0,0,0,0,0,0,0,0,0
 10-12,0,22.43,0,42.87,0,23.19,0,52.51,0,0,0,0,0,23.71,0,0,0,0,0,0,0,0,0,0,0,506.7,145.16,0,0,93.65,0,0,16.5,0,28.09,0,0,0,0,0,0,0
 14-21,0,0,0,3.11,37.27,15.76,0,10.31,0,0,0,5.85,7.92,0,1.13,0,0,0,0,0,3.43,25.26,0,0,18.65,109.67,51.17,0,0.93,3.17,0,4.7,0.9,3.35,1.71,15.17,100.88,0,0,13.61,0,0
 24-34,0,0,0.75,0,11.83,3.28,0,14.26,0,9.02,2.75,17.3,0,0,0,0,4.85,0,0,0,8.2,64.47,0.79,0,29.56,573.49,25.05,3.05,3.74,0,0,10.77,0,0,4.43,7.39,130.99,0,0,42.32,0,0
 36-46,0,0,2.3,0,5.21,0,0,76.52,0,1.4,7.65,26.22,0.72,0,1.47,0.81,17.8,0,0,3.46,16.69,116.47,0,1.13,17.3,996.85,17.84,11.97,1.34,0,2.87,8.62,0,0,2.44,0,276.09,0,0,35.92,0,0
 48-58,0,1.29,0.65,0,11.21,0.56,0,243.56,0,3.24,10.34,82.29,0,0.54,0.42,0.56,5.49,2.03,0.49,0,19.22,150.49,0.45,1.92,25.51,1270.88,50.84,4.31,11.27,6.64,0,4.78,0,0,4.46,0,192.23,0,0.74,27.7,0,7.16
 60-70,0,0,1.8,0,6.75,0,0,792.07,0,3.46,4.81,60.3,3.71,0,0,4.14,3.59,6.36,0,2.83,36.9,221.59,0,3.25,10.05,1415.5,30.3,5.8,19.83,0,2.69,6.61,0,0,6.29,0,171.58,0,5.01,18.69,0,6.22
 72-82,0,0,0.95,0,5.88,2.27,1.86,697.63,0,0,16.14,21.9,1.35,0,1.39,4.7,2.21,6.31,8.83,1.36,0.64,206.05,0,6.86,11.85,853.15,7.3,3.19,15.94,0,4.01,0.49,0,0,1.28,0,51.35,0.5,0.56,43.11,3.96,0
 84-94,0,0,1.04,0,6.31,3.28,1.39,736.66,0.59,0,16.86,40.59,16.48,0,2.41,3.44,6.04,1.87,2.66,0.57,10.72,233.46,2.97,7.86,10.48,664.63,8.81,5.51,13.21,0,0,4.97,0,0,3.89,0,46.77,0,3.31,57.36,2.05,0
 96-106,0,0,1.96,0,6.49,19.48,0,542.67,4.47,0,4.82,34.31,10.06,0,5.94,2.69,1.69,0,12.15,10.33,2.37,72.44,0,0,1.08,378.67,6.46,5.5,9.87,0,4.55,3.94,0,0,1.9,0,13.85,0,4.45,29.79,3.61,0
108-118,0,0,0.97,0,18.59,0,18.77,706.84,0,2.15,4.32,17.93,17.6,0,7.11,1.39,2.83,2.69,1.8,4.69,19.67,103.29,3.6,2.55,5.53,425.28,12.85,7.7,27.99,0,2.15,5.56,0,0,0.9,0,25.28,3.03,8.61,24.94,5.36,0
120,0,0,2.94,1.66,11.76,7,1.6,808.41,0,7.41,4.91,50.93,24.72,0,0,2.26,1.4,0,10.23,0,3.06,73.3,0,0,0,701.91,24.53,6.66,6.03,0,3.42,1.36,0,0,5.99,0,42.03,1.28,0,67.22,0,0
