stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,9.79,83.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.21,812.13,0,0,0,0,0,0,0,0,0,0,0,0,0,25.42,0,7.9,20.21,0,0,0,0,0
  7-9,19.49,8.02,20.27,0,0,0,23.13,0,0,38.3,0,0,0,0,0,571.34,28.21,186.01,5.76,0,0,0,0,0
 10-12,0,5.72,43.75,0,0,0,58.21,0,0,3.53,0,0,0,0,0,345.67,10.23,132.37,0,0,41.78,3.11,0,0
 14-21,0,0,0,2.05,1.2,0,2.54,1.11,0,0,0,0,5.46,0,0.86,24.82,0,0,1.35,1.99,0,6.26,4.95,0
 24-34,0,0,0.73,0,2.13,0,1.51,0,0,0,5.43,0,11.03,0,2.29,44.71,0,0,0,0,0,1.25,9.63,1.24
 36-46,0,0,0,0.64,0,0,1.82,0,0,0,2.41,0,3.38,0,0,33.83,0,0,0,0,0,0,14.72,0
 48-58,0,0,0,0.52,0,0,5.76,0.56,1.61,0,9.3,0,7.06,0.53,0.86,18.38,0,0,0,0,0,0,2.23,5.12
 60-70,0,0,0,0,0,0,3.82,0.57,0,0,17.21,0,5.09,0.8,0,6.37,0,0,0.6,0,0,0,1.59,0
 72-82,0,0,0,0,0,0,2.96,0.54,0,0,15,0.64,2.24,0,2.18,6.72,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.9,0,0,25.08,0,2.18,0,2.97,13.15,0,0,0,0,0,0,0,0.98
 96-106,0,0,0,0,0,0,9.57,0,0,0,31.79,0,0.91,0,0,12.35,0,0,0,0,1.1,0,0,0
108-118,0,0,0.74,0,1.98,0.71,3.72,1.9,1.47,0,29.65,0,6.54,0,0.93,10.14,0,0,0,0,0,0,0,0.45
120,0,0,0,0,0,0,2.49,0,0,0,29.44,0,0,0,0,9.01,0,0,0,0,0,0,0,0
