stage,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,melanocytes,mesenchyme,mucous,neural,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vasculature,xanthophores
  5-6,15.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.44,0,4.81,0,33.81,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.92,0,0,0,0,0,27.14,0,9.72,0,21.59,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,2.49,0,0,0,51.84,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,10.43,0,0,0,116.53,0,6.12,0
 36-46,0,0,0,1.08,0,4.74,0,0,0,0,0.63,0,0,2.85,13.99,0,0,0,160.66,2.8,0,0
 48-58,0,0.6,0,3.11,0,0,0,0,0,0,0,0,0.44,0,2.76,0,0,0,93.81,4,0,0
 60-70,0,1.38,0,1.51,0,3.15,0,0,0,0,0,0,0,0,5.01,3.1,0,0,132.56,0.75,0,3.9
 72-82,0,5.72,0,3.73,0,0.8,0,0,0,0,1.12,0,0,0.95,1.21,0,0,0,43.69,2.45,0,0
 84-94,0,7.08,0,8.23,0,0.57,0,0,0,0,4.44,0,0,2.18,7.01,0,0,0,135,0,0,0
 96-106,0,32.89,0,1.52,1.64,1.32,0,0,0,0.65,2.28,0,0,0.78,9.11,0.6,0,4.28,123.87,0,0,0
108-118,0,27.96,1.17,0,0,0.96,3.61,0.8,0,0,4.97,0,0,1.41,1.75,0,0,0,117.28,0,0,0
120,0,57.58,0,0,0,5.69,0,0,0,0,7.91,0,5.58,0,10.97,0,0,0,93.26,5.98,0,0
