stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching.gland,immune,neural,paraxial.mesoderm,spinal.cord,vasculature
  5-6,0,72.29,0,0,0,0,0,0,11.61,0,0
  7-9,3.69,0,0,0,16.86,10.17,0,64.9,17.04,0,0
 10-12,0,0,5.32,0,0,0,0,10.58,0,0,0
 14-21,0,0,0,0.97,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.8,0,0,0,2.43
 36-46,0,0,0,0,0,0,3.6,0,0,0,0
 48-58,0,0,0,0,0,0,6.29,0,0,0,0.47
 60-70,0,0,0,0,0,0,2.93,0,0,0,0
 72-82,0,0,0,0,0,0,16.74,0,0,0,0
 84-94,0,0,0,0,0,0,16.31,0,0,0,0.62
 96-106,0,0,0,0,0,0,21.99,0,0,1.78,0.82
108-118,0,0,0,0,0,0,18.44,0.42,0,0,0
120,0,0,0,1.35,0,0,24.59,1.35,0,0,1.25
