stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,101.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,0,0,0,0,0,0,0,0,0
  5-6,8.23,15.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.17,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.63,0,0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,68.75,0,0,0,25.87,0,0,0,7.42,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.25,1.05,1.77,0,0.82,0,0,0,0,0,0,0,2.76,0,0,18.36,2.17,0,0,0,0,0,1.84,0,0.87,4.8,12.51,0,0,2.06,0,0
 24-34,0,0,0,0.6,2.13,0,1.49,0,0.62,0,3.67,0,1,0,0,0,7.55,0,5.01,60.55,0.59,0,0,0,0,0,0,0,1.26,1.33,10.78,0,0,3.89,0,0
 36-46,0,0,0,0,0,0,15.2,0,0,1.77,15.29,0.56,0.57,0,0,7.64,14.73,0.74,3.01,194.25,1.16,0.76,0,0,0,0,0,0,0,0,46.61,0,0,10.71,0,0
 48-58,0,0,0,0,0.79,0,13.5,0,0,0,22.13,0,0,0,0,0,29.49,0.63,3.81,128.42,0,0,0,0,0,0,0,0,0,0,33.37,0,0,0.57,0,0
 60-70,0,0,0,0,1.16,0,24.31,0.73,2.9,0,28.17,0,0,0,6.06,0,27.52,0,5.08,173.16,0,0,0,0,0.71,0,0,0,0,0,11.59,0,0,10.12,0,0
 72-82,0,0,0,0,0.55,0,28.72,0.55,0.99,0,9.75,0,0,1.19,0.53,0,36.08,0,1.15,54.63,0,0,1.11,0,1.1,0,0,0,0,0,12.65,0,1.51,1.97,0.52,0.5
 84-94,0,0,1.14,0,2.91,0,12.53,0,0,0,12.97,0,0,0,1.01,0,23.34,0.94,1.57,82.09,0,0,0,0,0,0,0,0,0,0,4.22,0,0,1.4,2.52,0
 96-106,0,0,0,0,2.35,0.8,21.11,0,0.86,0.69,4.07,0,0,0,0,0,22.82,0,2.11,33.66,0.57,0,1.59,0,0,0,0,0,0,0,4.83,1.22,0,1.56,0,0
108-118,0,0,0,0,3.57,0,10.41,0,1.33,5.3,11.74,0,0,1.25,0,0,16.25,0,1.39,78.27,0.57,0,1.26,0,3.72,0,0,0,0,0,0.62,0,1.82,0.6,0,0
120,0,0,0,0,1.08,0,9.78,0,0,0,12.66,0,0,0,0,0,17.44,0,0,49.77,2.62,0,0,0,0,0,0,2.39,0,0,4.81,0,0,4.73,0,0
