stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,0.87,0,0,1.11,0,2.25,5.19,0,0,0,0
 24-34,1.39,0,0,0,0,0,0.67,1.51,0,0,0,0,0,0,0,0,2.25,0.6,0,0,0,0,0,0,0,0,0,2.7
 36-46,3.39,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,1.99,0,0,0,0,0,0,0,0,0,0,0
 48-58,17.09,0,0,0,0,0,0,9.01,0,0,0,0,0.93,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,1.34
 60-70,42.77,0,0,2.7,0.9,0,0,3.83,0,0,0,0.71,3.61,0,0,0,4.83,0,0,0,0,0,0,1.39,0,0,0,0
 72-82,55.89,1.36,1.3,3.3,0.67,0.61,0,5.18,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,0
 84-94,305.81,0,0.63,26.87,0,0,0,9.49,0,0,0,0,0,0.68,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0
 96-106,605.93,10.67,18.29,64.16,1.4,2.2,0,8.42,0,0,0,0,8.54,8.87,1.03,1.53,29.43,0,0,0,0,5.07,0,0,1.8,3.33,2.45,0
108-118,867.35,1.31,5.4,153.91,0,6.24,0,4.83,3.25,1.51,1.48,0,4.42,6.94,0,0,18.41,0,1.21,0,0,0.99,0,0,1.37,0,0,0
120,821.22,14.27,9.51,120.79,0,9.58,0,5.23,0,0,0,0,4.99,2.29,0,0,22.08,0,0,7.34,0,0,0,0,2.55,1.23,0,0
