stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.12,6.39,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.38,0,0,0,9.02,0,0,0,0,0,0,0,0
 14-21,3.05,0,0,0,0,1.01,0,0,0,0,0,0,0.81,0,0,7.41,0,0,0,0,0,0,1.86,0,2.23,0,0,0
 24-34,1.34,0,0.89,0,0,0,0,0,0,0.94,0,0,0,0,1.48,31.23,0,2.98,0,0,0,0,0,0,7.16,0,0,0
 36-46,0.8,0,5.77,0,0,0,0,1.65,0,0,1.09,0,0,0,0,45.43,0,0,0,0,0,0.84,0,0,13.07,0,0,0
 48-58,0,0,18.89,0,0.46,4.82,0,0,0,0,0.39,0,2,0,2.7,63.92,0,0.62,0,0,0,0.38,0,0,11.53,0,2.78,0
 60-70,0,0,41.06,0,0,0.75,0,0,0,0,0.63,0,3.16,0,0,61.72,0,3.34,0,0,0.63,3.76,0,0,13.31,0,1.73,0
 72-82,0,13.64,39.53,0,0,2.67,0.88,0,3.37,0,1.24,0,9.97,0,0,80.32,0,0,0,0,0,0,0,0,3.41,0,9.38,0
 84-94,0,0,41.95,0.6,0,0,0,0,0.97,1.86,0,2.28,2.02,0,0,28.89,0,0,0.84,0,4.76,1.88,0,1.11,16.91,0,0,0
 96-106,4.33,0,11.31,0,0,1.95,0,0,2.77,0,1.31,0,9.16,7.39,0,31.42,0,0,0,0,0,1.69,0,0,2.37,0,3.77,0
108-118,4.04,0,13.54,4.66,0,1.17,0.69,0,0.42,0,0,0,4.77,0,0,32.71,0,0,6.99,0,0,2.22,0,0,0,1.66,1.57,1.03
120,0,0,36.59,0,0,0,0,0,0,0,0,0,0,0,0,22.82,1.1,0,0,0,0,8.75,0,0,0,0,0,0
