stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,68.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
  5-6,8.91,135.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.24,0,0,0,0,0,7.53,0,0,0,0,0,0,0,0,0,17.14,0,0,0,21.73,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.32,0,0,0,11.54,0,6.79,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.74,0.81,5.17,0,0.99,0,0,0,5.14,1.2,3.17,0,0,0,0,0,0,0,0,3.37,38.71,0,0,0,0,5.63,0,1.66,25.98,16.09,14.42,12.05,0,0,0,0
 24-34,0,0,0,8.38,0.78,0.6,0,1.35,0,0,0,0,3.6,1.31,4.39,0.9,1.32,0,0.95,0,0,0,11.05,54.31,0,0,0.62,0,29.92,0,0,52.75,4.72,8.09,15.38,0,0,8.24,0
 36-46,0,0,0,0,0.67,0,0,3.94,3,0,0,3.09,0.72,4.27,2.8,6.97,0,0,1.07,8.03,0,0,13.8,32.93,1.44,0,0,0,68.41,0,0,35.53,20.94,1.97,11.03,0,0,3.37,0
 48-58,0,0,0,0.51,0,0.43,0,9.15,6.47,0,0,3.1,1.78,15.91,0.93,1.96,0,0.49,0.37,13,0,0,0,36.15,0,0,0,0,33.88,0,0,29.02,5.91,0,10.81,0,0,9.64,0
 60-70,0,0,0,0,1.08,0,0,10.5,2.6,1.36,0,13.21,3.81,9.78,0,0.69,0,0,4.17,13.36,1.53,0,0,38.23,2.08,0,0,0,26.73,0,0,12.21,1.95,0,13.54,0,0.9,9.37,0
 72-82,0,0,1.3,7.18,1.08,0,0,9.8,0.76,0.81,0,9.39,11.17,2.06,0.49,8.62,2.14,0,5.34,15.27,2.42,1.23,1.97,58.63,0,0,0,0,17.68,0,0,15.87,3.66,0,3.04,0,0.52,23.64,0
 84-94,0,0,0.66,0,11.2,0,0,52.66,9.69,0,0,2.97,18.36,13.15,1.5,14.57,0.68,0,9.26,29.08,5.38,2.96,1.46,41.87,0,0,0.73,0,54,0,0,40.11,1.2,0,0,2.69,2.34,16.19,0
 96-106,0,0,1.1,1.03,11.42,2.83,0,20.63,4.45,0.63,1.09,14.78,49.32,1.06,0.86,17.5,0.81,0,7.55,23.72,5.48,0.93,1.2,27.74,0,1.51,0,0,39.31,0,0,20.96,1.68,0,2.13,1.89,0.57,41.06,0.69
108-118,0,0,0.54,0.49,21.26,0,4.92,27.36,6.11,0.9,0,13.17,69.82,2.74,1.04,10.52,3.06,0,6.84,24.62,16.87,0,5.96,46.44,1.21,0,0,0,37.08,0,0,16.08,0.51,0,0,9.26,0.69,39.84,2.26
120,0,0,0,0,30.31,0,3.08,25.12,13.26,0,0,4.72,77.4,0,0,24.03,7.01,1.13,26.6,36.67,0,11.56,2.59,16.25,0,0,0,0,24.23,0,0,14.05,0,0,0,10,0,71.14,0
