stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,6.96,0,3.16,0,0,0,12.41,0,0,0,0,0,0,0,2.54,0,0.99,17.93,0,1.65,0.89,0,6.56,0.99,0,2.77,6.52,0,0,0
 24-34,0,0,6.23,0,0,0,1.11,0,0,0,0,0,0.95,0.69,4,0,0.62,57.57,2.64,0,0,4.12,0,0,0,3.86,11.54,0,0.77,0
 36-46,7.36,0,10.26,0,0,0,0,0,0.64,4.83,0,0,0,0,0.83,0,9.59,60.08,0,0,0,6.66,0,0,0,0,12.61,0,0.62,5.2
 48-58,0.75,0,13.13,0.93,0,0,2.14,0,0,0,2.64,0,0,0,2.05,0,0.39,22,0.76,0.4,0,0.44,0,0,0,0,9.47,0,0,0
 60-70,0.88,0,28.16,0,4.43,0,2.17,0,0,2.54,0,0,0,0,0.58,0,0.82,11.91,2.02,0.59,0,8.8,0,0,0,0,3.33,0,0,0
 72-82,0,5.34,29.55,0,0,0,2.38,1.16,0.95,0,0,1.45,5.43,0,5.42,0,0,29.11,0,0.68,0,9.24,0,0,0,0,2.19,4.46,0.96,0
 84-94,0,1.83,11.8,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,6.16,0,0,0,5.46,0,0,0,0,0,0,0,0
 96-106,6.36,0,18.43,0.59,1.07,0.62,1.51,0,7.11,0,0,0,0,0,0,0.78,0,15.38,0,0,0,2.01,0,0,0,0,0,0,1.14,0
108-118,2.3,0,13.06,0,0,0,2.54,0,1.46,0,3.67,0,0,0,1.21,0,0,22.85,2.37,0,0,1.71,0,0,1.21,0,0,0,0.42,0
120,0,1.47,11.4,0,0,0,7.28,0,3.33,0,0,0,0,0,5.97,0,0,26.12,0,0,0,10.92,0,0,0,0,0,0,6.49,3.63
