stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,vasculature
  5-6,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81,0,0,0,0,0
 24-34,0,0.66,0,0,0,0,0,0,1,0,0,0,0,0,10.67,0,0,1.28,0,13.51
 36-46,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,4.63,1,0,0,0,17.59
 48-58,0,0,0,0.52,0,1.16,0,0,0,0,0,0,4.49,0,1.12,0,0,0.46,0,3.56
 60-70,0,0,0,3.89,0,1.83,0,1.71,0,0,0,1.16,6.72,0,0,0,1.22,1.13,0,18.18
 72-82,0,1.8,0,7.1,0,3.24,0.74,0,0.87,0,0,1.21,18.81,0,10.12,0,0,1.46,0,16.48
 84-94,0,7.45,0,3.83,2.22,3.18,0,0,0,0,0,0,17.36,0,4.25,0,0,2.9,0,27.29
 96-106,0,2.75,5.09,0,0.66,4.25,0,0,0,0,0,0,3.32,0,2.43,0,0,0.59,1.75,14.67
108-118,0,1.42,0,5.19,0.96,5.76,0,0,0,0,0.65,0.63,5.45,0,1.79,0,0.54,2.54,0,13.58
120,0,1.18,0,4.49,0,2.77,0,0,0,1.06,0,0,12.76,3.25,0,0,0,0,0,1.73
