stage,endocrine.pancreas,eye,mesenchyme,mural.cell,neural,pericytes
 14-21,1.11,0,0,0,0.95,0
 24-34,0,0,0,0,3.42,0
 36-46,0,0,0.59,0,0.9,0
 48-58,0,0,0.65,0,0.87,0
 60-70,0,0.75,0,0,0,0.63
 72-82,0,0.8,0,1.42,0,0
 84-94,0,0,1.25,0,2.73,0
 96-106,0,0.76,0,0,0,0
120,0,29.04,3.2,0,0,0
