stage,blastomeres,endocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,melanocytes,mesenchyme,neural,spinal_cord,vascular_smooth_muscle
  5-6,7.73,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.25,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.2,0,0
 24-34,0,0,0,0,0,5.32,0,0,0.75,2.5,0,0
 36-46,0,0,1.79,0,0,9.13,0,0,0,17.64,0.78,0
 48-58,0,0,9.55,0.86,0.49,7.17,0,0,0.53,6.33,5.16,0
 60-70,0,0,0,0,0,21.93,0,0,0,6.95,3.28,0
 72-82,0,0,4.18,0,0,22.39,0,0,0,3.49,2.77,0
 84-94,0,0,5.21,0.56,0,9.51,0,0,0,0.68,6.22,0
 96-106,0,0,12.45,0,0,7.45,0,0,0,9.91,1.12,0
108-118,0,1.03,10.29,0,0,31.45,2.08,0.58,0.64,4.98,0,0.56
120,0,0,1.66,0,0,10.32,3.55,0,5.97,9.97,2.98,0
