stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,83.31,1031.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.43,0,0,0,0,0,0,0
  5-6,20.96,345.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,7.83,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.64,0,0,11.35,0,5.74,0,0,0,0,0,0
 10-12,0,0,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7,0,0,0,0,0,0,15.82,0,0,0,0
 14-21,0,0,0.81,0.88,0,0,5.8,0,0,1.23,0,0.81,0,9.39,1.58,0,0,2.07,0,4.35,0,0,0,4.68,0,0,0,0,0,0.8,0,0,4.13,2.17,0
 24-34,0,0,0,0.75,0.6,0,4.9,0,0,0,0,0,0,13.55,4.18,0,0,1.38,0.65,1.8,0,0,0,14.17,1.27,0,0,0.83,0,0,0,0.61,3.15,19.83,0
 36-46,0,0,0,0.64,0,0,7.78,0,0,0,0,0,0,15.09,0,0,0,0,2.72,2.14,0,0,2.23,39.95,0,0.83,0,7.83,0.81,0,0,0,3.78,7.98,0
 48-58,0,0,0,0.49,0,0,12.43,0,0.44,0.93,0,0,0,35.91,0.98,0,0,0,0,3.24,0,0,0,24.49,0.47,0,0,2.04,0.56,0,0,0,1.44,9.75,0.74
 60-70,0,0,0,4.57,0,0,12.2,0,0,3.65,0,0,0,25.09,0,0,0,0,0,1.46,0,0,0,17.64,6.18,0,0,25.33,0,0,0,0,0,9.05,0
 72-82,0,0,0,5.53,3.83,0,10.45,0,0,4.72,0,0,0,40.94,0.52,0,0,0,0,6.41,0.57,0,0.78,20.71,1.62,0,0,45.01,0,0,0,0,0.75,8.27,5.57
 84-94,0,0,0,3.65,0,0,11.69,1.98,0,14.35,1.36,0,0,61.31,3.64,4.69,0,0,0,15.24,0,0,0,6.15,0,0,0,129.76,0,0,0,0,5.59,20.73,0.82
 96-106,0,0,0,22.36,0,0,31.13,4.22,0,9.56,3.25,0,0,70.8,3.99,15.22,0,0,0,8.38,3.04,1.67,3.81,24.65,1.05,0,0,282.43,0,0,0,0,1.96,12.37,0
108-118,0,0,0,14.98,3.02,0.56,6.89,1.53,0.72,5.72,1.96,0,0.56,66.78,1.96,0,0.74,3.11,0.54,17.27,1.55,0,0.61,32.96,0,1.88,0,272.76,0,0,2.04,0,2.45,28.91,0
120,0,0,0,16.91,0,0,16.29,4.53,1.44,12.67,0,0,2.27,119.83,9.6,0,0,4.74,0,0,0,0,0,62.81,0,0,0,227.98,0,0,0,0,0,2.88,0
