stage,epidermis,eye,iridophores,lateral.line,mesenchyme,muscle,neural,otic,spinal.cord,vasculature
 14-21,1.01,0,0,0,1.02,0,11.78,0,5.25,0
 24-34,0,2.25,0,0,0,0.84,19.25,0,1.91,0
 36-46,0,2.44,4.15,0,1.71,0,7.6,0,0,0
 48-58,0,4.57,0,2.61,0.65,0,1.23,0,0,0
 60-70,2.36,4.11,0,0,0.69,0.68,5.95,6.34,1.9,0
 72-82,0.77,4.82,0,0,0,0,3.76,0,0,0.71
 84-94,0,0.88,0,0,0,0,0,0,0,0
 96-106,1.27,0.6,0,0,2.13,0,5.67,0,0,0
108-118,0,2.57,0,0,0,0.47,2.87,0,0,2.9
