stage,blastomeres,eye,neural,spinal.cord
  5-6,7.01,0,0,0
  7-9,0,0,8.75,0
 10-12,0,0,8.81,0
 14-21,0,0.84,0.96,0.99
 24-34,0,0.81,16.8,1.1
 36-46,0,6.05,21.99,10.04
 48-58,0,10.69,31.65,6.23
 60-70,0,10.16,8.82,3.43
 72-82,0,27.77,23.76,0
 84-94,0,19.79,6.78,0.87
 96-106,0,16.31,15.12,0
108-118,0,12.46,9.82,0
120,0,2.71,0,0
