stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,150.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.51,34.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.17,0,0,0,0,0
  7-9,0,0,0,0,12.37,0,0,0,3.46,0,0,0,30.91,0,15.03,0,0,15.44,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,79.32,0,41.97,0,0,0,0,0,0,0
 14-21,0,0,1.08,0,0,0,1.88,0,0,0,0,1.37,14.04,0,0,0,0,0,2.11,0,0,0
 24-34,0,0,0,1.68,3.42,0.86,0,0,0,3.18,0,1.68,25.14,1.36,0,0,1.56,0,1.7,0,0,0
 36-46,0,0,0,0,1.62,0,0.66,0,0,0.91,0,0,23.04,0,0,0,7.17,0,5.64,0,3.2,0
 48-58,0,0,3.15,0,10.41,0,1.75,0,0,0.8,0,1.56,22.59,0,0,0,0,0,2.76,0,0,0
 60-70,0,0,4.32,0,10.97,0,3.1,0,0,3.21,0,0,14.37,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,6.69,4.05,0,1.19,0,0,0.74,0,0.61,8.26,0.81,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.64,0,0,0,0.73,0,7.24,0,0,12.15,0,3.85,2.56,0.95,0,0,0,0,0
 96-106,0,0,0.59,6.23,0,0,0,0,0,1.42,0.85,0,1.14,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.98,0,0,2.11,0,0,8.13,0,0,0,0.73,0,0,1.35,0,0.54
120,0,0,1.68,0,7.33,0,19.53,0,0,10.09,0,0,32.61,0,0,0,0,0,0,0,0,0
