stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,20.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.01,0,0,0,9.04,0,0,0,0,0,0,0,0,0,0
 10-12,11.71,0,0,0,0,5.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.64,0,0,0,32.17,0,0,3.29,0,0,0,0,0,0,0
 14-21,0,0,21.81,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,4.16,0,0,0,9.78,6.18,0,0,0,0,2.48,0,1.96,2.46,0,0,0,0,0
 24-34,0,0.62,14.77,0,0,1.57,0,0.68,0.74,2.7,0,0,0,0,0,0,0,0,12.32,0,0,1.96,51.53,3.1,0,0,0,0,46.77,1.48,0,6.37,0,0,0.94,0,0
 36-46,0,0,30.6,0,0,2.75,0,1.15,0.87,3.57,0,0,0,0,0,0,0,0,14.91,0,0,2.26,56.5,0,1.29,0,0,0,93.53,0,0,23.77,0,0,1.04,0,0
 48-58,0,0,25.67,0.41,0,12.33,0.74,6.97,0.8,14.22,0.92,0,0.45,0,1.02,0,0,0,17.63,0,0,3.02,84.14,0,5.26,2.94,0,0,68.78,0.94,0,23.55,0,0,0.58,0,3.63
 60-70,0,0,27.05,0,0,26.15,0,5.77,1.6,39.62,0,1.71,0,0,0.71,0,0,0,8.78,0,0,0.68,69.39,0.71,0,0,0,0,51.63,0,0,14.8,0,0,0,0,0
 72-82,0,0,28.9,0,0,34.88,0.79,11.65,4.71,14.38,0,0,2.83,5.79,3.61,0,1.05,0,28.4,2.05,1.74,3.25,94.23,0,6.34,2.29,0,7.7,28.65,0,0,11.7,0,0,1.79,0,4.07
 84-94,0,0,72.75,0,0,24.84,0,12.52,1.02,23.32,5.29,0,0,0,1.55,0.58,1.05,6.75,23.13,7.97,0.57,1.13,47.36,0,1.5,2.72,0,0,62.17,0.64,0,6.39,0.71,1.05,0,0,0
 96-106,0,0.66,48.68,3.82,0,16.75,0,15.1,0,25.18,8,0,4.88,0,1.43,1.05,0,1.37,42.64,2.55,1.99,4.07,38.18,0,3.98,0,0,0,81.1,0.7,0,3.37,0.83,3.81,2.98,3.3,0.62
108-118,0,0,77.72,0,1.9,24.35,0,14.68,4.43,29.82,7.1,0,0.69,0,5.47,0,0.6,3.32,38.51,0.43,0.51,0.8,49.35,0,6.42,9.39,0,0,82.23,0.94,0,0.7,1.77,0,0,0,0
120,0,0,115.73,0,0,16.61,0,26.99,14.32,30.19,8.86,0,0,0,4.48,0,0,6.42,84.99,0,0,0,73.28,4.66,5.67,3.28,0,18.35,72.69,4.63,0,2.98,2.39,0,7.76,0,0
