stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,37.86,546.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.14,0,0,0,0,0,0,0,0,0,0
  5-6,0,546.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.15,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0
  7-9,3.76,0,0,0,0,0,0,26.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.86,5.77,0,0,11.98,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.58,0,7.45,0,0,0,4.48,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,71.79,0,0,0,28.58,0,0,0,8.13,0,0,0,0,0,0,0,0
 14-21,0,0,9.18,0,0.91,0,0,0.99,0,0,0,10.89,0,0,0,0,0,0,0,0,0,1.27,0,0,0,407.72,0,2.99,0,0,0,0,0,1.19,0,0,343.29,0,0,0,0,0
 24-34,0,0,5.81,0,10.04,8.3,0,28.08,0,0,2.32,5.16,0.71,0,0,0,0.66,0,0.68,2.41,0,12.54,0,0,2.68,3181.23,0,90.8,13.75,0,0,6.27,0,1.17,0,0.66,873.27,0,0,10.58,0,0
 36-46,0,0,3.5,0,2.8,0,0,141.92,0,0,0,17.89,0,0,0.65,2.84,0,1.11,10.92,0,0.61,19.9,0,0,2.23,7873.05,0,101.91,22.4,0,1.69,4.89,0,1.02,2.28,0,1425.35,0,0,7.35,0,3.6
 48-58,0,0,2.75,0,31.84,0,0,836.8,1.67,3.64,0.7,119.31,0,0,1.35,1.8,0.37,12.6,3.7,4.2,5.66,75.19,2.25,0.99,13,11569.24,5.45,54.23,17.48,0,0,11.8,0,2.01,0.88,0,1572.33,0,0,7.56,0,36.38
 60-70,0,0,1.77,0,32.41,0,0,2125.43,1.57,7.66,20.58,125.23,0.63,0,0,6,6.49,3.41,14.13,0,0,49.94,0,1.96,15.23,13554.6,1.03,43.82,38.64,0,0.66,30.71,0,0,1.58,0,1699.09,0,1.9,16.31,0,36.04
 72-82,0,0,6.47,0,49.85,19.25,0,3323.09,0,2.4,9.03,170.49,5.87,0,4.09,1.17,0,4.1,18.56,5.37,0,141.71,0,15.03,12.11,11456.79,4.03,53.51,66.15,0,0,7.25,1.65,0.73,0.53,0,1119.94,6.59,2.03,17.6,6.98,88.47
 84-94,0,0,3.93,0,60.5,5.25,0,2322.83,0,0.57,0,153.28,0,0,0,1.03,1.82,12.95,28.88,0.83,0,77.01,0,3.15,9.76,6817.91,5.19,36.51,75.6,0,0,17.39,0,0,0.64,0,637.56,3.21,1.05,12.35,1.41,25.44
 96-106,0,0,5.55,0,34.47,22.02,1.05,2287.56,0,0,2.5,138.15,7.06,0,1.29,2.94,1.79,5.13,61.19,8.43,0.75,64.08,0,2.39,2.92,5076.85,0,75.52,86.14,0,0,21.09,3.39,0,0,0,277.93,1.81,4.18,7.71,6.2,4.36
108-118,0,0,4.41,0,58.94,12.36,1.59,2220.6,0,0.52,0,123.95,1.6,0,0,4.82,1.1,3.35,44.13,4.91,1.68,91.44,0,1.72,1.45,7931.21,0,30.68,70.11,0,0,9.04,0,1.48,0,0,240.87,3.25,0.67,4.06,2.07,4.33
120,0,0,0,0,92.24,11.01,26.01,1462.83,5.49,1.16,9.45,173.07,0,0,0,1.01,0,0,36.57,3.33,0,88.38,0,9,10.08,8749.67,0,76.18,61.12,0,0,5.88,0,0,0,0,251.59,0,0,11.65,0,0
