stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pgc,somites,spinal_cord,taste
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79,0,0,0,0,0,0,0
 14-21,0,5.65,0,0,0,0,0,0,0,0,0,0,0,7.22,1.84,0,0,0,0.96,10.38,0
 24-34,0,0,0,0,0,0,0,0,1.21,0,0,0,0,28.44,2.21,0.74,0,0,1.25,11.94,0
 36-46,0,0,0,5.33,0,0,0,0,0,0,0,0,0,79.33,0,0,0,0,0,27.94,0
 48-58,0,1.09,0,1.54,0,2.11,0,0,0,0,1.33,0,1.32,50.04,0,0,0,0,0,21.68,0
 60-70,1.1,4.79,0,27.98,0,5.8,14.42,0,0,0,0,0,0,31.18,0,0,0,0,0,12.43,0
 72-82,0,21.13,0,6.83,0,7.52,83.11,0,1.3,0.96,1.06,0,1.49,26.12,0,0,0.57,0,0,2.5,0.92
 84-94,7.02,26.1,1.08,0.69,0.55,4.45,88.29,0.81,2.33,3.51,3.7,0,2.43,30.01,0,0,4.74,0,0,3.73,0
 96-106,1.72,49.09,0,4.55,0,6.12,74.26,1.58,1.17,0,2.2,0,0,14.48,0,0,9.79,0.76,0,3.42,4.1
108-118,0.72,45.07,0,10.42,0,0,52.42,0.54,2.75,0,5.2,1.06,0.62,20.02,0,0,4.21,0,0,0,0
120,0,12.58,0,11.79,0,1.97,76.4,0,0,0,0,1.47,1.82,8.83,0,0,2.93,0,0,0,0
