stage,axial,eye,neural,paraxial_mesoderm
  7-9,4.37,0,8.2,4.5
 10-12,0,10.9,4.78,0
 24-34,0,0,1.11,0
 48-58,0,0,0.59,0
108-118,0,0,5.31,0
