stage,endocrine.pancreas,epidermis,eye,glial,mesenchyme,muscle,neural,periderm,spinal.cord
 14-21,0,0,0,0,0,2.12,0.99,0,1.22
 24-34,0,0.86,0,0,0,0,0,0,1.58
 36-46,0,0,0,0,0,0,1.25,0,1.14
 48-58,0,0,0,0,0,0,0.73,0,0
 60-70,0,0,7.73,0,1.9,0,4,0,0
 72-82,0.62,0,0,0,1.17,0,0,1.94,0
 84-94,0,0,0,0,0,0,8.64,0,0
 96-106,0,0.71,0,0,0,0,0,0.99,0
108-118,0,0,0.78,1.71,0.74,0,0.53,0,0
