stage,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature,xanthophores
 14-21,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.6,0,0,3.72,0,0.99,0.61,0,0,0
 36-46,0,0.71,0.67,0,0,0,0,0,0,0,0,0,7.67,0,0,9.1,0,0,0
 48-58,0,0.61,3.43,0,0,0.71,0,0,0,0.45,0,0,1.9,0,0,0,0.49,0,0
 60-70,0,0,2.73,0,0,1.72,0,0,1.39,6.68,0,0,0,0,0,1.96,0,0,0.77
 72-82,0,0,2.56,0,0,0.79,0,0,0,0,0,0.56,0,0,0,1.69,0,0,0
 84-94,0,0,8.44,1.69,2.45,4.08,0,0,0,7.26,0.57,0,0,0,0,8.63,0,0,0
 96-106,0,0,0,0,0,0.9,0,0,0,3.16,0.57,0,1.27,0,0,0,0,0,0
108-118,0,0,14.13,0,0,3.71,0.54,0,0,0,0,0,5.15,0,0,0,0,1.18,0
120,0,1.76,0,0,0,2.9,0,1.76,0,4.33,0,0,0,12.84,0,0,0,12.25,0
