stage,axial,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.96,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,25.86,0,0,0,0,0,0,21.23,0,0,0,0,0
 24-34,0,0,0.66,0,0,0,0,0,66.54,0,0,0,0,0,0,0,87.57,0,0,0,0,0,0,177.29,0,0,1.05,0,0
 36-46,0,0,0,0,2.09,0,0,0,274.18,0,0,0,0,0,1.93,0,142.56,0,4.6,0,0,7.49,0,390.15,0,0,0,0,0
 48-58,0,0.42,0.93,0,31.53,0,0,0.42,859.03,0,0,0,0,0,4.05,0,125.9,0,1.06,0,0,0,0,646.08,0,0,0,0,1.67
 60-70,0,0,8.47,0,89.17,0,0,0,2455.55,0,2,1.16,3.05,0,2.7,0,85.69,0,0,0,0,0.58,0,431.3,0,0,0,0,5.27
 72-82,0,0.88,3.91,1.16,196.42,0,0,0.68,3684.82,0,0,0,0,0,2.83,0,71.36,0,0,0,0.49,0,3.02,106.31,6.09,0,0,0,0
 84-94,0,0.86,8.23,0,240.39,0,0.61,0,3278.28,0.76,0,2.32,0,0,4.31,0,83.15,0,0,0,1.96,2.69,0,96.32,3.13,2.12,0,0.75,22.4
 96-106,0,0,17.8,0,169.87,2.62,0,8.29,3365.86,0,0.96,0,0,4.87,7.1,1.63,92.57,0,0,3.11,1.46,0,0,31.6,0,0,2.44,0,0
108-118,0,0.61,5.16,0,144.6,0,0,0,3590.22,0,0.57,0,0,0,14.87,0,87.4,0,0,0,0,0,0,20.21,0,0,0,0,0
120,0,0,1.7,0,182.72,0,0,0,3933.1,5.27,5.07,1.43,0,0,10.64,0,178.76,4.49,7.23,0,0,1.02,0,82.74,0,0,0,5.18,0
