stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,88.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,123.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.76,0,0,0,14.44,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.88,0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,1.26,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,189.1,0,6.18,0,0,0,1.89,0.96,0,0,109.5,0,0,0,0,0
 24-34,0,0,4.92,2.57,0,0,16.41,0,0,0,1.85,0,0,0,0,0,0,0,0,0,3.99,0,0,2.13,1959.28,0,53,0,0,0,15.6,0,0.69,0,618.8,0,0,0.93,0,0
 36-46,0,0,0.95,4.26,0,0,137.56,0,0,1.14,14.24,0,0,0,0,0,0,0,0,0,10.28,0,0,0.62,5222.21,0,135.83,0,0,0,3.64,0,3.31,0.85,1153.74,0,0,0.59,0,0
 48-58,0,0,0,26.87,0.45,0,598.38,0,7.8,2.47,75.19,0,0,0.63,0,0,0,0,0,0.93,20.07,0,4.39,8.23,6958.36,0,68.89,2.02,0,0,3.84,0,0,0.9,1238.49,0,0.42,0,0,13.08
 60-70,0,0,2.06,15.38,0,0,2048.92,0.78,3.05,4.39,104.93,0,0.66,1.17,7.74,0,0,0,0,0,40.96,0,0.81,1.48,8782.08,6.77,53.68,8.19,0,0,9.14,0,0.59,1.01,1362.11,0,2.23,0,0.64,0
 72-82,0,0,2.58,21.05,10.01,0,2131.34,0,8.97,0,79.77,0.7,0,0,4.54,0.75,0.62,0,1.03,14.21,28.29,0,1.07,0.69,8176.34,1.15,95.48,5.41,0,0,2.45,0,0,0,982.22,0,1.6,2.48,3.85,14.51
 84-94,0,0,1.16,31.91,0,0,1771.61,0,2.18,0.74,95.37,0,0,0,3.14,0,1.28,0.69,0,0,62.61,0,0,3.1,5097.52,0,100.34,8.6,0,0,3.02,0,0.67,0,674.23,1.96,1.64,4.36,1.13,7.57
 96-106,0,0,3.55,17.39,16.82,0,1782.75,0,0,0,86.43,1.73,0,0,6.56,3.17,0.57,0.58,7.43,0,43.04,0,4.05,0.92,4303.56,0,100.55,1.16,0,1.82,16.74,0,0,0,290.43,2.03,2.71,6.63,0.93,0
108-118,0,0,10,42.9,5.79,2.73,1490.29,0,0,4.69,117.46,1.02,0,0,0.45,0,2.06,0,4.73,1.67,34.56,0,2.11,2.39,4713.86,0,75.36,4.72,0,5.34,20.25,0,0,0,279.76,5.13,0.67,5.29,1.69,0.99
120,0,0,0,73.47,12.83,1.6,1783.11,11.48,6.38,50.98,336.48,9.69,0,0,5.51,10.03,0,0,0,0,139.61,15.75,0,0,7986.36,1.87,191.72,4.64,0,0,18.37,0,0,0,447.77,0,0,8.83,5.89,22.19
