stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,13.98,175.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.98,209.67,0,0,0,0,0,0,0,0,0,0,13.86,0,0,0,7.14,0,0,0
  7-9,3.32,0,4.13,0,0,5.99,0,0,0,0,0,0,98.67,5.26,0,23.51,5.78,0,0,0
 10-12,0,12.04,15.42,0,0,0,0,0,0,0,0,0,122.38,0,0,31.12,0,7.31,0,0
 14-21,0,0,0,1.68,1.23,0.85,0,0,0,0,0,1.05,8.07,0,0,0,0,0.85,1.31,1.35
 24-34,0,0,0,0,0,2.24,0,0.63,0,0,0,0,13.43,0,0,0,1.81,0,0,3.65
 36-46,0,0,0,0,0,0.61,0,1.77,0,0,1.68,0,5.55,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.02,0,1.89,0,0,0,0,0,0,1.13
 60-70,0,0,0,0,0,0,0,0,0,1.41,1.14,0,3.55,0,0,0,0,0,0,0
 72-82,0,0,0,2.1,0,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.75,2.34,0,0,0.83,0,0,0,0,0,0.98,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,1.82,0,0.48,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0
