stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,59.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.08,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.41,0,0,0,0,0,0,0,0,0,0,10.01,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.52,0,19.36,0,0,0,0,0,0,0,0,33.32,0,0,0,0,0,0,0,0,0,0,98.13,32.81,0,0,3.19,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,9.22,2.56,0.99,0,0,0,0,0.9,12.24,0,12.91,0,0,0,0,6.19,1.81,0,6.39,27.41,15.25,8.11,0.94,0,0,2.22,3.75,0,2.93,21.62,0,0,0,0
 24-34,0,0,0.9,0,5.28,0.89,7.51,0,0,10.74,0.72,3.31,2.36,2.3,53.53,0,0,0.6,2.38,23.32,47.71,0,17.37,256.09,2.16,123.04,0,0,0,0,0,3.88,13.46,86.58,0,0,0,5.34
 36-46,0,0,0,0,2.61,0,26.94,0,0.83,20.68,2.09,7.1,0,11.13,7.02,0.88,0,0,0.82,53.23,12.98,0,25.12,574.71,2.1,167.41,0,0,0,8.07,0,0,0.83,130.56,0,0,0,15.21
 48-58,0,0,0,0,7.76,0,83.62,0,0,24.17,4.41,7.04,0,10.97,6.3,0,0,0,1.6,63.15,16.13,0,13.32,742.37,0,114.6,1.3,0,0,4.11,0,0.4,0,122.94,0,0.52,0,3.81
 60-70,0,0,0,0,6.18,0,270.94,6.57,2.42,27.2,13.6,1.51,0,22.65,12.65,9.96,0.59,0,0,78.4,13.57,0,6.87,1371.62,0,88.37,5.53,0,1.19,4.61,0,1.12,0,109.25,0,0,0,0
 72-82,0,0,2.13,0,5.14,1.2,437.26,0,3.76,42.54,25.81,10.95,0.52,50.41,24.59,4.67,0.7,0.54,0,97.29,34.28,0,3.87,1112.34,0,150.11,3.12,0,0,2.9,0,0.97,0,79.95,6.53,0.79,0.59,11.71
 84-94,0,0,1.44,0,15.23,0.56,275.44,0,0,31.14,17.68,23.44,0,96.47,16.12,6.46,0,0,1.55,75.63,28.48,1.37,1.49,775.66,0,147.9,2.04,0,0,2.3,0,0.62,0,56.01,5.06,0,4.87,0
 96-106,0,0,2.11,0,10.65,0.62,272.88,0.71,1.44,34.31,13.02,20.79,0,88.95,13.76,4.05,1.38,0.6,0,44.91,38.57,1.03,1.18,707.52,0,290.52,10.12,0,0.97,6.04,0,0.7,0,44.84,9.76,1.33,6.72,2.32
108-118,0,0,0.72,0,22.28,0.46,284.25,0,0.43,36.94,13.27,42.77,0,59.42,11.16,6.38,0.6,0.51,4.19,74.16,26.71,0.51,3.95,821.42,0,232.98,1.92,0,0,3.54,0,0,0,20.85,12.78,0.44,3.06,0
120,0,0,7.72,0,10.16,0,147.61,0,0,18.47,7.91,37.97,0,103.29,15.97,2.6,4.73,0,0,60.18,10.93,16.56,2.07,1290.42,0,271.57,14.75,0,0,0,0,0,0,33.2,4.46,1.23,3.15,0
