stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.49,726.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.49,409.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.5,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.16,0,0,0,0,0,5.78,3.79,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.03,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,0,0,1.13,6.1,0.87,0,0,0,0,38.86,0,0.93,25.43,31.25,2.87,0,0,0,0,0
 24-34,0,0,0.81,0,2.19,0,0,2.17,108.6,0,0.8,5.79,0,2.74,0,0,0,0.82,0,0,8.82,0.61,0,44.31,61.14,11.09,0,2.29,0,0,97.09,0,0,52.94,64.63,19.59,0,0,2.39,0,0
 36-46,0,0,0,0.56,1.42,0,0,33.37,176.22,5.14,0.87,0,0,1.05,0,0,0,0,1.97,11.22,5.87,0,0,21.36,105.78,17.45,3.18,0,0,0,102.84,0.81,0,67.58,8.54,46.31,0,0,1.02,0,17.55
 48-58,0,0,0.46,0,0.82,0,0,23.75,87.31,1.35,0,4.43,0,0.8,0,5.05,4.73,0.62,0,4.17,3.16,1.91,0,13.71,98.11,10.25,1.03,2.25,0,0,93.3,0,0,45.61,0,24.3,0,0,0,0,22.53
 60-70,0,0,0,0,2.07,0.6,0,35.44,85.39,2.48,0,4.05,0.72,0,0,0,2.72,0,0,3.88,7.29,0,0,7.6,109.4,1.2,0.98,0,0.81,0,56.06,0,0,14.71,0,13.26,0,2.07,0,19.41,11.85
 72-82,0,0,1.46,0,5.48,1.18,0,29.02,40.31,0,0.51,12.78,0,0,0,0,6.17,2.73,0,10.54,8.62,0,10.69,10.62,167.35,0.56,0,0,0,0,63.22,0,0,4.5,0,3.11,0,1.79,0.94,82.63,15.56
 84-94,0,0,1.11,0,9.84,2.04,0,56.63,39.39,1.64,8.29,0,0.93,0,0,0,10.54,0.89,0,16.09,16.36,0,9.5,19.6,117.88,0,1.91,1.47,0,0,170.4,0,0,6.04,0,3.62,2.5,8.35,0,119.65,2.37
 96-106,0,0,0.9,0,12.2,15.07,0.97,54.83,53.57,3.93,0,21.82,1.44,2.94,0,0.59,12.85,3.65,0,15.84,24.78,0,1.26,6.7,101.96,0.77,0,0.58,0,0,154.87,0,0,5.55,0,5.37,0,8.73,5.89,185.71,7.26
108-118,0,0,0.61,0,36.96,2.16,4.38,37.47,57.3,1.36,1.5,15.37,2.11,0,0.88,2.62,30.75,2,0,21.97,13.93,3.35,0,12.35,154.05,1.24,1.39,0.6,0,7.96,182,0,0,1.78,0,9.47,0.41,4.56,3.28,127.68,19.24
120,0,0,3.9,0,24.28,4.54,0,28.53,39.68,3.7,0,5.14,0,0,0,6.38,3.8,3.58,0,5.81,23.65,3.15,0,20.36,135.21,5.39,0,0,0,0,173.08,0,0,1.21,0,32.38,0,1.56,0,205.07,3.6
