stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,61.58,894.04,0,0,0,0,0,0,0,0,0,0,0,63.09,0,0
  5-6,76.13,693.67,0,0,0,0,0,0,0,0,36.31,0,0,45.11,0,0
  7-9,11.03,14.04,20.64,0,23.23,0,5.64,0,0,0,499.47,8.9,183.33,7.57,0,0
 10-12,0,0,15.47,0,0,0,0,3.73,0,0,56.09,0,69.41,0,0,0
 14-21,0,0,0,1.33,0,0,0,7.41,0,0,0,4.05,0,5.11,0,0
 24-34,0,0,0,0,0,0,0,9.52,1.86,0,0,0,0,0.83,2.13,0
 36-46,0,0,0,0,0,0,0,6.95,0,0,1.09,0,0,1.43,0,0
 48-58,0,0,0,0,0,0,0,10.86,0,0.43,0,0,0,0,0,0
 60-70,0,0,0,2.04,0,0,0,8.01,0,0,5.83,0,0,0,0,0
 72-82,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0.49
 84-94,0,0,0,0,0,0,0,13.35,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.78,0,1.18,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.94,0,1.93,2.22,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,5.07,0,0,0,0,0
