stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,lateral.line,mesenchyme,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,10.52,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.03,0,6.13,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,3.36,1.55,0,0
 24-34,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.68,0,0,0,0,1.72,0,0
 48-58,0.94,2.35,0,0,0.74,0,1.03,6.29,0,0,0,0,3.61,0,0
 60-70,0,3.92,0,0,0,0,2.46,4.81,0.91,0,0,0,0,1.26,1.98
 72-82,0,1.43,0,0,0.82,0,0,0.73,0,0,0,0,0,0,0
 84-94,0,0.56,0,0.69,0,0,0.69,7.52,0,0,1.76,0,0,0,0
 96-106,0,0,0,0,0,7.82,5.29,16.56,0,0,1.59,0,0,0,0
120,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
