stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,498.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,320.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.62,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.16,11.56,0,0,84.2,0,0,0,0,0,0,0,0,0,0
 10-12,14.27,27.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.01,0,0,0,51.23,0,0,28.81,0,0,4.47,0,0,0,0
 14-21,0,0,2.96,3.01,0,6.55,0,0,0,1.78,0,0,0,0,0,0,0,0,4.05,0,0,0,31.43,0.95,0,0,0,0,2.79,0,0,7.35,13.82,0,0,0,0
 24-34,0,0,3.14,0,0,5.49,0,0,0,1.58,0,1.37,0,0.62,0,0,0,0,5.26,0,0,2.24,83.75,0,1.94,0,0,3.28,0,0,0,1.36,20.44,0,2.54,0,0
 36-46,0,0,2.19,0,0,26.5,1.14,0,0.64,3.94,0,0.63,0,0,0,0,0,0,14.9,0,1.42,7.26,123.9,0,1.58,0.67,0,1.63,0,0,0,0,28.13,0,0,0,0
 48-58,0,0,13.55,0,0,27.24,3.21,0,0,10.02,0,0,0,0,0,0,0,0,9.32,0,0,2.01,69.21,0,0.77,2.08,0,0.44,0,0,0,0,20.36,0,2.44,0,0
 60-70,0,0,2.64,0,0,68.93,0,0,1.48,19.47,0,0,0,0,0,0,2.57,0,15.98,0,0,0,115.69,1.09,7.92,0,0,0,0,0,0,0,41.27,0,0.85,0,0
 72-82,0,0,0,3.94,0,45.77,0,0,0,13.2,0.57,0,0.52,0,0,0.79,0,0,30.73,0,1.07,5.3,134.25,0,5.43,2.84,0,1.31,0,0.55,0,0,38.95,1.57,2.59,0.71,0
 84-94,0,0,0,1.21,0,53.75,0,0.61,0,27.78,0,0,0,1.5,0,10.95,0,0,17.94,0.62,0.69,5,60.74,0.57,0,2.28,0,1.86,0,0.6,0,0,11.47,0,0,0.92,0
 96-106,0,0,13.86,5.22,0,87.25,0,0,0.81,41.87,1.81,1.55,1.32,0,0,0,0,0.67,26.07,0,0,0.96,112.85,0.91,2.7,6.31,0,0.84,0,0,6.41,0,31.55,0,6.1,0,1.4
108-118,0,0.74,6.62,18.03,0.45,115.8,0,0,0.7,36.95,0,1.35,1.44,2.46,1.25,0,0,0,50.58,0,5.9,2.83,118.76,0,8.08,1.68,0,2.08,0,0.42,0,0,8.54,0,7.93,0,0
120,0,0,7.7,11.03,0,76.3,1.49,0,0,48.93,2.52,3.15,1.91,0,0,0,0,0,19.93,0,0,1.56,177.6,0,31.59,1.59,0,2.93,0,1.13,0,0,6.95,0,7.03,0,0
