stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,123.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292.15,0,0,0
  5-6,0,68.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.56,0,0,0,0,184.28,0,0,0
  7-9,4.25,8.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06,0,0,0,0,0,62.11,0,0,0
 10-12,0,0,0,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.24,0,0,0,3.22,0,3.1,0,0,0
 14-21,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,6.76,0.86,0,0,0,0,0.87,27.03,0,0
 24-34,0,0,1.55,0,5.93,2.6,1.53,0,0,0.82,0,0,0,0,0,0,0,4.63,0,2.97,36.29,0,2.17,0,0,0,9.27,84.3,0,4.02
 36-46,0,0,0.69,0,0,2.17,1.03,0,1.56,0,0,1.96,0,0,0,0,1.15,1.85,0,0,52.85,1.33,24.73,0,0,0,0.58,204.74,0,0.65
 48-58,0,0,0.67,0,9.76,20.79,0,0,10.38,0,0,0,0,0,0,0,7.59,5.82,0,0.42,87.33,0,5.06,0,0,0,0.59,206.84,0,2.86
 60-70,0,0,0.95,0,0,46.65,1.58,2.02,40.8,0,0,0,0,0,1.13,0,0,8.54,0,2.53,146.22,0,1.19,0,0,0,0,251.49,0.65,1.03
 72-82,0,0,2.33,0,1.15,72.68,0,0,41.21,1.57,0,0,0,0,0.92,1.2,0,9.4,5.33,0,143.11,1.39,2.11,0,0,1.2,0,152.88,0,3.38
 84-94,0,0,2.64,0,0.68,51.78,1.87,0,26.06,8.82,0,1.79,0,0.71,0,0,0,11.25,0,0.93,132.91,0,0,0,0,0,0,81.59,0,2.67
 96-106,0,0,2.6,0,1.58,61.36,0,0,24.9,8.86,0.73,0,0,4.71,0,0,0,21.2,2.3,0,148.45,0,1.03,0,0,0,0,52.15,0,1.61
108-118,0,0,1.18,0,6.27,125.53,1.51,0.6,22.29,2.28,0,0.92,0.49,0.63,0,0,0,11.62,0,0.59,144.82,0,0,0,0,0,0,43.99,1.26,3.14
120,0,0,0,0,13.67,72.26,0,0,29.56,6.44,0,1.75,0,1.59,0,0,0,0,0,0,318.12,0,1.09,3.89,0,0,0,237.63,0,9.35
