stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,xanthophores
  5-6,6.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,9.52,0,0,0,0,0,0
 10-12,0,5.27,0,0,0,0,0,0,0,0,10.29,7.97,0,0,0,0,0
 14-21,0,0,0.9,0,0,0,0,0,0,0,1.01,0,0,1.49,0.91,0,0
 24-34,0,0,0,0,0,0,0,0,0.64,0,8.53,0,0,0,0,3.41,0
 36-46,0,0,0,0,1.17,0,0,0,1.91,0,10.7,0,0,0,0,0.73,0
 48-58,0,0,0,0,3.82,0,0.67,1.15,0.86,0,16.86,0,0,0,0,0,0
 60-70,0,0,0,0,3.19,1.77,0.85,0,1.46,0,7.99,0,0,0,0,0,0
 72-82,0,0,0,0.59,1.68,0,0.55,0,5.03,0,1.67,0,1.54,0,0,1.05,2.46
 84-94,0,0,0.65,0,0,0,1.04,0,0.58,0,17.83,0,0,0,0,0,0
 96-106,0,0,0,0,1.45,0,0,0,3.29,0,5.55,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,9.26,0,1.58,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.12,3.78,0,0,0,0,0,0
