stage,axial,blastomeres,epidermis,eye,glial,gut,hatching.gland,heart,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,24.09,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.87,0,0,0,9.29,0,0,13.18,0,0,0,0,0,0
 14-21,0,0,0,0,10.46,0,0,0,0,0.85,15.62,4.82,0.98,0,0,0.81,4.48,39.32,0,0
 24-34,0,0,0,0,29.28,0,0,0,0.82,1.88,22.5,18.66,1.67,0,0,0,1.46,39.85,0,0
 36-46,0,0,0,0.55,15.45,0,0,0.93,0,0.62,44.31,12.42,2.15,0,0,0,0,31.73,0,0
 48-58,0,0,0,0.4,31.8,0,0,0.55,0.8,0,33.11,6.27,1.22,0,0,0,0.4,25.59,0,0
 60-70,0,0,0,0,14.87,0,0,0,0,0,37.57,15.69,0.63,0,0,0,1.12,29.64,0,0
 72-82,0,0,0,6.26,19.79,0.73,0,0,10.76,0.51,42.39,9.35,4.69,0,0,0,0,14.4,0,8.98
 84-94,0,0,0.73,1.62,12.94,1.57,0,0,0.8,3.36,34.43,7.44,1.51,0,0,0,1.45,7.67,0,0
 96-106,0,0,0,12.87,15.28,0,0,0,2.72,0,13.1,10.36,2.65,0,9.25,0,0,8.53,0,0
108-118,0,0,0,1.06,12.1,0,0,0,1.52,2.19,25.13,11.04,3.3,0,0,0,2.12,4.83,1.03,0
120,0,0,0,12.79,7.2,0,0,0,1.07,0,17.9,0,11.56,0,0,0,0,4.02,0,0
