stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.06,19.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.53,0,0,0,0,0,0,0,0,0,0,0,0,5.68,0,0,0,0,0,0,0,0,0,0,56.6,8.31,0,0,44.36,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.6,0,0,0,0,0,8.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.7,8.01,0,0,28.82,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.12,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,4.37,1.41,0,1.94,46.53,0,0,0,0,0,4.02,6.37,0,11.82,22.12,0,0,0,0,0
 24-34,0,0,1.05,0,2.58,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,30.82,7.27,0,2.6,388.42,5.5,9.43,0,0,0,3.83,0,0,0,137.29,0,0,0,0,8.93
 36-46,0,0,0,0,1.07,0,0,26.66,0,0,2.29,0.77,0,0,0,0,1.77,4.89,1,0,64.89,12.52,0,8.02,1127.46,5.68,13.78,0,0,0,7.1,0,0,0,119.3,0,0,0,0,18.56
 48-58,0,0,0,0,11.8,0,0,278.94,0,7.23,1.36,39,0,0,0,4.42,0,0,0.38,0,52.6,13.17,0,5.94,1749.66,10.23,17.19,0,0,0,6.17,0,2.3,0,233.12,0,0,0.39,0,20.37
 60-70,0,0,0,1.02,22.15,0,0,1078.55,0,0,0.6,33.94,0,0,0,6.58,0,4.81,1.96,0,52.36,14.38,0.78,6.77,2234.6,2.52,9.61,0,0,0,2.14,0,1.49,0,236.61,0,4.5,0.84,0,11.29
 72-82,0,0,0,0,7.05,2.24,0,1585.28,0,0,2.04,48.14,1.38,0,0,1.71,0,6.85,0.68,0,33.7,41.07,1.35,6.21,2013.96,7.3,22.17,0,0,0,5.8,0,0,0,148.31,0,0,1.72,0,18.85
 84-94,0,0,0,0,11.97,1.19,0,943.51,0.57,4.74,2.04,33.27,0,0,0,1.52,0,16.27,0,0,77.67,34.75,0.96,10.59,1475.69,7.9,12.1,7.38,0,0,5.32,0,0,0,143.28,0,2.59,1.58,0.57,10.63
 96-106,0,0,0.87,0,6.45,13.67,1.05,1156.49,0,1,10.5,50.4,1.99,0,0.61,1.37,0,23.64,2.07,25.6,37.84,34.04,0,7.64,1398.83,4.13,25.19,1.43,0,0.83,8.53,0,0.57,0,79.47,0,2.51,7.67,0.96,20.45
108-118,0,0,0.57,0.92,14.09,11.27,0,1029.34,0,0,0,34.33,1.8,0,3.23,1.5,0,32.12,0,0.45,76.92,53.37,4.77,0,1400.39,13.89,23.29,2.24,0,0,0.48,0,0,0,47.56,0,0.75,3.19,0.65,11.15
120,0,0,0,0,12.63,15.13,0,774.31,0,3.39,0,60.98,0,0,4.76,0,0,19.17,1.11,0,37.9,39.57,0,3.62,1935.44,23.78,31.6,1.05,0,0,0,0,0,0,37.59,2.31,16.29,1.15,0,3.14
