stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.99,0,0,0
  5-6,17.43,18.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,221.03,0,0,0,0
 10-12,0,19.25,3.27,0,0,0,0,0,11.29,0,0,0,0,189.81,13.66,203.04,0,0,0,0
 14-21,0,0,0,8.57,1.99,0.87,0,5.01,0,0,0,1.77,0,195.53,0,52.37,0,6.18,0.84,59.81
 24-34,0,0,0,1.85,0.61,1.47,1.21,1.73,0.67,0,0,0,0.69,120.36,0.7,0,0,0,1.29,21.08
 36-46,0,0,0,6.56,0,4.91,0,1.28,0,0,0,0,0,106.85,0,0,0,0,0,18.1
 48-58,0,0,0,3.47,1.24,0.94,0,10.49,0,0,0,0,0,44.86,0,0,0,0,0,8.57
 60-70,0,0,0,1.88,0,2.73,0,17.46,0,0,0,0,0,48.82,0,0,0,0,0,6.64
 72-82,0,0,0,1.31,5.13,0.65,0,23.99,0,0.53,1.53,0.49,0,16.55,0,0,0,0,0,0
 84-94,0,0,0,5.69,3.87,6.78,0,19.21,0,0.8,0,0,0,22.03,0,0,0,0,0,2.57
 96-106,0,0,0,3.2,0,2.71,0,8.03,0,0,0,0,0,2.51,0,0,4.47,0,0,0
108-118,0,0,0,3.68,0,8.76,0,13.89,0,0.52,0,0,0,4.85,0,0,0,0,0,0
120,0,0,0,14.82,0,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0
