stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,41.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.12,0,0,4.58,0,4.32,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0,8.72,0,2.6,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,17.11,0,0,0,0,7.34,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.82,0,6.99,0,2.3,0,0,0,0,198.8,0,10.51,0,0,30.26,0,0,0,0,6.14,0,0,0,0,0,0,3.44
 84-94,0,0,0,4.04,2.84,0,9.94,0,0,1.22,0,1.37,0,876.55,0,17.63,0,0,36.47,0,0,0,0,0.88,0,0,4.11,0,0,0,0
 96-106,0,0.61,0,3.12,10.89,0,15.89,1.4,8.42,1.15,1.72,0,0,1345.89,0,46.12,3.04,1.42,130.47,1.6,2,0,0,20.35,0,0,3.31,2.96,3.53,2.97,0
108-118,0,0,0,6.69,2.54,0.72,67.49,0,7.08,1.71,0,0,3.85,2154.45,0,20.42,1.08,0,145.81,1.55,0,0,1.02,4.7,0,0.44,0,0,4.16,0,0
120,0,0,0,0,11.3,1.89,47.12,0,9.69,4.13,0,0,0,1476.12,9.24,16.89,0,0,128.52,0,0,0,0,3.07,0,0,1.95,0,0,0,0
