stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,62.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0
  5-6,106.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688.62,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.75,5.34,0,0,17.98,0,376.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.18,0,4.44,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.24,0,0,0,54.49,0,173.75,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.03,5.62,0,0,0,0,0,0,0,2.18,0,0,0,187.9,0,2.49,0,0,1.1,28.33,0,1.7,4.2,3.59,6.53,0,0,0,1422.37,0.87,0,5.81,2.22,0,0,2.46,0,0
 24-34,0,0.6,0.6,7.65,1.59,0,10.09,0,1.88,0,2.2,6.22,0,1.22,0,519.9,0,19,0,3.35,6.83,84.41,0,2.57,114.26,1.7,103.76,0.68,0,0,2110.5,0,34.02,1.19,5.75,0,0,7.44,0,1.52
 36-46,0,0,0,11.89,4.96,0,2.9,4.42,7.72,0,0.75,5.49,0,1.67,0,267.14,0,34.57,0,0,14.35,59.84,0.92,0.68,82.01,0.58,141.67,10.09,0,0,2294.42,0,41.66,0,16.22,0,0,7.18,0,0
 48-58,0,0,0,21.1,2.32,0,30.44,0,19.65,0,13.82,2.56,0,0,0.85,134.94,0,31.11,0,0,8.93,47.11,0,3.18,90.56,0,108.31,12.79,0,0,1774.85,0,25.15,0,18.82,0,0,0.88,0,6.42
 60-70,0,0,0,45.78,0.61,0,43.84,0,15.15,0.84,4.13,2.49,1.28,0.66,0,210.83,0,84.26,0,0,14.27,49.13,0,0,81.81,0,131.8,1.04,0,0,2022.81,0,30.66,0,4.56,0,1.27,0,0,0
 72-82,0,0,0,54.38,5.22,0,58.03,0,27.44,0.56,5.84,7.81,0,0,2.46,378.4,2.49,111.31,0,0,24.31,60.97,2.07,3.84,101.11,0.91,190.09,1.62,0,0,2177.89,0,21.26,0,6.58,12.39,0.66,0,0.57,0
 84-94,0,0,0,138.73,1.89,0,37.22,0,107.77,0,3.93,13.58,0,0,1.68,614.47,0.67,154.25,0,0,44.5,98.4,7.42,0,68.76,0,219.85,1.68,0,0,6107.23,0,80.97,0,3.84,1.17,0,1.4,0,0
 96-106,0,1.41,1.07,243.03,16.94,0.62,114.27,0,131.2,2.49,28.21,36.9,0,0,2.65,870.32,0.89,232.88,9.47,0,56.24,139.29,1.85,6.39,229.01,0,392.33,2.8,0,4.6,7495.61,0,45.58,0,15.28,7.98,0,1.25,0.69,5.35
108-118,0,3.86,0,226.66,0,0,60.31,0.76,190.51,5.41,27.92,35.09,0,2.59,1.03,744.18,0,192.48,4.35,0,46.49,144.71,2.8,1.62,149.59,0.41,269.95,2.77,0,2.55,5869.33,0,61.06,0,3.9,2.39,0,3.06,4.67,5.43
120,0,0,0,209.67,5.32,0,79.28,2.32,130.3,0,10.01,21.95,0,0,0,560.75,9.93,112.41,20.48,0,22.42,71.6,0,1.03,129.52,13.85,346.35,0,0,0,3639.13,0,49.15,0,0,0,0,0,0,0
