stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,visceral.smooth.muscle
  3-4,21.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,48.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.85,0,0,0,0,0,0,0,0,0,0,9.69,0,0,0,0,0,0,0,0
 10-12,10.05,0,3.04,0,0,0,0,0,0,0,0,0,0,30.9,0,0,0,0,0,21.23,0,0
 14-21,0,1.09,0,3.17,0.97,0,0,14.38,0,0,0,0.83,0,15.72,5.25,0.89,5.63,0,0,15.06,51.1,0
 24-34,0,0,0,0,0,0.62,0,9.53,0,0,0,0,0,13.11,0,4.92,0.73,0,0,11.1,35.67,0
 36-46,0,0,0,0,0,0,0,8.85,0,0,0,0,0.73,25.11,0,7.66,0,0,8.19,6.68,14.46,0
 48-58,0,0,0,0,0,0,0.86,11.24,0,0,0.4,1.07,0,10.93,0,4.93,0,0,0,3.53,19.6,0
 60-70,0,0,0,0,0,4.43,0,6.61,0,0,0,0,0,10.85,0,10.32,0.98,0,0,1.06,6.27,0
 72-82,0,1.8,0,0,0,1.39,0,6.35,0.64,0,0.79,1.81,0,2.31,0,9.32,4.67,0,0,1.15,8.56,0
 84-94,0,0,0,0,7.66,0,0,14.1,0,0,1.54,0,0,3.56,0,11.65,5.96,0,0,2.37,8.05,0
 96-106,0,0.99,0,0,0,4.02,0,8.26,1.56,0,2.01,1.44,0,12.18,0,7.21,10.25,0,0,1.05,3.08,0
108-118,0,0,0.77,0,0,1.43,0,8.69,0,0.7,3.29,0,0,6.61,0,14.66,5.44,2.06,1.23,1.12,2.71,3.76
120,0,0,0,0,0,0,0,4.83,0,0,9.65,0,0,9.78,0,10.62,26.71,0,1.86,0,2.74,0
