stage,axial,blastomeres,eye,fast.muscle,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord
  3-4,16.11,0,0,0,0,0,0,0,0,0
  5-6,0,46.19,0,0,0,0,0,0,0,0
  7-9,0,0,11.94,0,0,0,262.04,18.81,0,0
 10-12,0,0,0,0,0,0,33.16,0,0,0
 14-21,0,0,0,0,1.13,0.91,3.69,0,0,1.43
 24-34,0,0,0.6,0,1.33,0,2.66,0,2.37,0.89
 36-46,0,0,1.84,0,0.68,0,3.14,0,0,0
 48-58,0,0,0.85,0,3.59,0,14,0,0,0
 60-70,0,0,2.92,0,0,0,6.24,0,0,0
 72-82,0,0,0,7.66,0.53,2.41,2.62,0,0,0
 84-94,0,0,0.81,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.09,0,0,0,1.86,0
108-118,0,0,0,0,0,0,1.31,0,0,0
