stage,blastomeres,epidermis,eye,glial,hatching.gland,iridophores,mesenchyme,muscle,neural,spinal.cord,visceral.smooth.muscle
  3-4,10.96,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,16.22,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.8,0
 24-34,0,0,0,0,0,0,0,0,13.93,0.68,0
 36-46,0,0,1.57,0,0,0,0,0,31.13,2.69,0
 48-58,0,0,0.45,0,0,0,0,0,37.65,4.4,0
 60-70,0,0,4.59,0,0,0,0,0,61.43,11.02,0
 72-82,0,0,9.2,0.89,0,0,1.53,0,49.2,3.7,0
 84-94,0,0,8.67,1.75,0,0,0,0,53.14,0,0
 96-106,0,0,11.57,0,0,0,0,1.26,71.96,1.73,0.74
108-118,0,0,4.67,5.03,0,0.56,0,0,94.51,3.77,0
120,0,11.44,0,0,0,0,0,0,150.42,1.19,0
