stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,xanthophores
  5-6,0,9.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.43,12.13,0,0,8.41,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,4.59,0,2.04,0,0,1.45,0,3.75,0,0,0,0,0,0,0,0,0,0,0.82,5.58,0,0,0
 24-34,0,0,0,0,0,0,13.29,0,0,0,0,26.48,0,0.61,0,0,0,12.78,0,5.6,0,0,0,0,0,1.62,0,0,2.49
 36-46,0,0,0,0,0,0,6.01,0,0,0,0,202.54,0,1.15,0,0,0,19.34,0,0,0,0,0,0,0,4.15,0,0,19.48
 48-58,0,0,0,1.77,0,0,25.44,0,1.89,0,0,324.58,0,8.82,4.11,0,0.38,55.8,0,0,9.29,0,0,0,0,4.05,0,0,108.9
 60-70,0,0,0,0,0,0,32.08,2.87,9.35,0,0,874.25,0,2.77,4.09,0,0,39.92,0,2.41,0.72,0,0,4.82,0,6.61,0,0,109.15
 72-82,0,0,0,2.06,0.89,0,26.48,0,3.53,3.98,0,668.08,0,6.03,10.48,0.78,0,54.5,0,1.06,0.9,0,0,0.9,0.5,6.82,0,0.87,126.81
 84-94,0,0,0,1.48,0.6,0,21.87,0,0.64,0,0,1119.86,3.21,0,7.21,0,0.71,29.16,0,0,0,0,0,2.42,0,0,0,0.75,39.25
 96-106,0,0,1.08,1.34,0.63,0.76,25.81,1.31,2.93,0,1.17,776.57,13.29,0,3.57,0,0,13.26,2.51,0.63,0,0,0,2.63,1.09,3.81,0.58,0,34.76
108-118,0,0,0,4.95,0,0,14.33,2.72,0,0,0,1243.1,0.43,0,7.18,0,0,19.82,0,0,0.49,0,4.16,0,0,0,0,0,27.4
120,0,0,0,0,0,0,15.12,0,1.51,0,0,552.39,0,0,2.2,0,0,14.64,0,24.38,0,0,0,0,0,0,0,0,9.42
