stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,20.92,12.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.71,162.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,18.32,0,4.04,0,0,0,6.19,0,0,0,0,0,3.41,0,0,0,0,0,0,0,0,0,0,114.39,0,0,0,59.2,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,18.49,0,0,0,19.72,0,0,0,0,0
 14-21,0,0,9.53,0,1.94,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,2.98,1.8,0,0,6.06,10.64,0,0,0,0,0.95,1.05,80.99,0,0.87,0,0,0
 24-34,0,0,10.11,0.76,4.32,0,0,3.5,0,0,0,1.43,0,0.76,0,0,12.21,0,0,3.43,4.84,0,0,0,19.65,0,0.97,0,0,0,0.76,0,88.02,0,1.95,0,0,0
 36-46,0,0,14.72,0,6.61,0,0,0,0,0.62,0,0,0,0,0,0,21.48,0,0,0,0,7.36,0,0,9.54,0,1.55,0,0,0,0,0,75.37,0,1.12,0,0,0
 48-58,0,0,8.24,0,10.85,0,0,12.89,0,0.88,0,0,0,0,0,0,40.04,0,0,0.42,6.3,12.62,0,0,17.17,0,0.75,0,0,0,0,0,30.62,0,7.14,0,1.69,0
 60-70,0,0,3.27,0,18.67,0,0,146.94,1.3,1.53,0,5.3,0,0,0,0,51.66,0,0.69,1.35,0.83,4.3,0,0,17.51,0,0,0.77,0,0,4.95,0,39.89,0,0,0,0,0
 72-82,0,0,10.44,0,16.79,0.54,0,710.8,0,1.39,7.98,5.87,2.9,0,0,0,127.17,0.57,0,0,8.99,2.83,0,0.69,47.02,0,1.43,0,0,0,1.28,0,33.4,0,4.32,0,2.06,8.1
 84-94,0,0,4.62,0,51.43,0,0,623.65,0,5.28,0,14.46,11.86,0,0,0,160.63,0,0,3.55,8.62,6.73,0,0,57.59,0,0,0,0,0,1.44,0,66.73,0,0,0,1.74,0
 96-106,0,0,6.63,0,65.94,1.26,1.05,1215.2,0,0.57,1.12,14.26,10.82,0,0.58,0,298.84,0,0,7.01,4,5.6,0,0,94.92,0,0.57,0.6,0,1.51,1.25,0,58.45,0.6,7.91,1.17,6.79,0
108-118,0,0,9.1,0,110.09,5.7,0,1165.87,0,7.8,1.17,17.87,9.85,0,0,1.64,244.59,0.79,0,0,11.43,5.91,0,1.78,53.75,0,3.54,0,0,0,1.24,0,69.69,0,7.62,0,0,0
120,0,0,7.51,0,107.99,7.04,0,1134.85,0,6.38,0,45.49,11.8,0,0,0,135.72,8.35,2.13,0,6.5,1.48,9.27,0,126.96,0,0,0,0,0,1.45,0,63.09,0,4.09,0,0,0
