stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,gut,hatching.gland,heart,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,vasculature
  3-4,0,132.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.42,249.81,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0
  7-9,0,5.69,0,0,0,0,0,0,0,0,0,0,0,34.99,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.04,0,0,0,0,31.16,5.72,19.44,0,0
 14-21,0,0,0,0,1.75,0,0,0,1.19,0,4.44,0,1.1,0,0,0,0,0
 24-34,0,0,0,0,1.26,0,0,0,0,0,42.58,0,0.65,1.16,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,35.28,0,0,0,0,0,0,0.76
 48-58,0,0,0.44,0,0,0,0,0,0,0,82.38,1.85,0,5.53,0,0,0,0
 60-70,0,0,0,0,0.69,0,0,0,0,0,93.18,0,0,1.05,0,0,2.48,0
 72-82,0,0,0,0,1,0,0,1.15,0,0.54,65.28,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,5.74,0,0,108.72,0,0,0,0,0,2.93,0
 96-106,0,0,0,0,0,0,0,1.44,0,0,119.26,1.54,4.65,1.58,0,0,0.76,5.35
108-118,0,0,0,0.74,0,5.99,0.84,0,0,0,129.53,0,0,2.04,0,0,1.23,1.58
120,0,0,0,0,0,0,0,0,0,0,190.04,11.5,0,2.85,0,0,2.82,8.29
