stage,endocrine.pancreas,epidermis,erythrocytes,eye,glial,immune,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,3.75,0,0,0,0,0,5.4,0,0,8.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,10.21,0,0,6.28,0,0,0,0
 14-21,0,0,0,0,0,0,1.23,0,0,4.2,0,0,0,3.04,1.04,0,0
 24-34,0,0,0,0,0,0,0,0,0,4.76,0,0,0,1.68,0.85,0,0
 36-46,0,0,0,0.88,3.08,0,0.83,0,0,18.74,1.19,0,0,0,0,0,0
 48-58,0,0,0,0,1.02,0,0,0,5.39,9.84,0,0,0,0,0,0,0
 60-70,0,0.67,0,4.78,1.08,0,1.12,0,0,4.35,1.1,0,0,0,3.81,0,0
 72-82,0.97,0,9.17,1.66,4.55,0,0.78,0,1.65,3.15,0,0,0,0,0,0,0
 84-94,0,0,0,6.74,3.41,0,6.55,1.98,0,10.58,0,1.19,0,3.5,0,3.29,0
 96-106,0,0,0,3.23,2.1,0,0,0,0,3.84,0,0,0,0,0,0,1.24
108-118,0,0,0.78,1.45,3.08,0,6.25,0,1.03,6.09,0,0,0,0.56,0.95,0,0
120,0,0,0,7.16,0,2.35,0,0,0,18.21,0,0,0,1.97,0,0,0
