stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,24.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0
 24-34,0,0.77,0,0,0,0,0,2.68,25.72,0,0,0,0,0,12.26,0,0,19.49,3.31,0,1.08,0
 36-46,0,0,0,0.85,1.63,0,0,0,45.36,0,0,0,0,3.32,2.11,7.09,0,23.51,0,0,0,0
 48-58,0,0,0,0,3.83,0,0,1.15,15.22,0,0,0,0,0.48,16.1,0,0,2.85,0,0,0,0
 60-70,0,0,0,7.19,12.67,0,0,0,13.78,0,0,0,0,2.7,17.44,0,8.05,3.17,0,0,0,0
 72-82,0,0,0,24.11,34.56,0,1.88,0,4.04,0,0,1.75,0,0,37.31,0,2.3,1.3,0,2.23,1.13,0
 84-94,0,0,0,7.82,48.47,0,0,0,4.89,0,0,0,0,2.4,30.9,0,5.7,0.83,0,0,0,0
 96-106,0,9.49,0,14.97,47.73,0.75,0,0,8.16,1.62,0,0,2.17,13.58,44.95,0,0,8.02,0,0,0,6.14
108-118,0,0,0,29.47,33.74,0,0.94,0,8.94,0,0.51,10.14,0,1.1,28.03,0,0,0.52,0,0,0.82,0
120,0,0,3.04,21.54,40.17,0,0,2.1,3.7,0,0,0,0,36.5,55.11,0,3.23,0,0,0,0,0
