stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.63,145.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.8,284.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22,17.23,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.87,24.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.91,34.88,0,0,43.52,0,0,0,0,0,0,0,0
 10-12,0,5.59,0,0,10.6,0,0,0,0,0,0,0,0,0,0,0,105.78,3.99,0,0,64.64,0,0,0,0,0,0,0,0
 14-21,0,0,2.77,0.89,2.26,0,0,0,1.11,0,0,0,0,0.85,0,0,15.18,2.03,0,0,0,0,0.87,4.54,4.05,0,0,0,0
 24-34,0,0,0.69,0,2.65,0,0,2.04,0.73,0,0,2.38,0.95,15.41,0,0.65,27.58,0,0,0,0,5.92,0,1.42,11.88,0,6.15,0,2.64
 36-46,0,0,0,0,3.62,3.23,0,0,0,0,0,0,0,14.76,0,1.51,18.7,0,0,0,0,4.79,0,0,2.84,0,0,0,0
 48-58,0,0,0,0,11.75,0,0.39,3.85,2.33,0.53,0,0,0,7.38,0,3.54,10.26,0,0,0,0,0.37,0,0,0.97,0,7.97,0,0
 60-70,0,0,0,0,9.31,0,0,2.49,0,0,0,0,0,14.4,0.88,0,0.94,0,0,0.58,0,12.93,0,0,0,0,1.9,0,0
 72-82,0,0,0,0,5.59,0,0,2.42,0.72,0,5.98,0,0,18.21,0,0.97,2.71,0.88,0,0,0,1.87,0,0,0,0,1.32,0,0
 84-94,0,0,1.04,0,1.93,0,0,2.11,0,0,0.65,0,0,4.75,0,0,4.06,0,5.16,0,0,10.3,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.36,0,0,15.68,0,0,0,0,0,2.63,0,0,0,0,0,0,0,2.96,0,0,0,0,0.74,1.43,0
108-118,0,0,0,0,6.95,0,0,9.78,2.14,0,3.53,1.02,0,6.33,0,0.51,0,0,0,0,0,2.57,0,0,0,0,3.84,0,0
120,0,0,3.71,0,1.65,0,0,72.24,0,0,0,0,0,12.73,0,0,9.2,0,0,0,0,2.73,0,0,0,2.09,2.97,0,0
