stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,immune,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,xanthophores
  3-4,52.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0,0,0
  5-6,68.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,11.21,0,0,0,0,0,0,0,55.17,0,5,0,0,0,0,0,0
 10-12,0,0,0,0,5.67,0,0,0,0,0,0,0,16.4,4.54,0,0,5.62,0,6.93,0,0
 14-21,0,0.86,0,0,0,0,2.29,0,0,0,0.82,0,3.86,0,0,0,0,2.51,0,2.01,0
 24-34,0,0,0,0,0,0,0,0,0,1.57,0.74,2.1,12.75,0,0,0.75,0,0,0,0,0
 36-46,0,0,0,0,3,0,0,0,0,0,0,0,6.77,0,0,0,0,0,0,1.25,0
 48-58,0,0,0,0,6.06,0,0,0,0,0,0.48,0,7.98,0,0,0,0,0,0,0.99,0
 60-70,0,0,0,0,0.73,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,1.82
 72-82,0,0,0,0,0.77,0,0,0,0,0,0,1.31,5.78,0,0,2.07,0,0,0,2.91,0
 84-94,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.23,0.74,1.21,0,0,0.42,0,0,0,0.94,0,0,0,0,0,0.41,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0,0,0,0
