stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.81,24.56,30.8,0,4.39,0,0,0,11.59,4.42,111.1,0,0,0,0,0,0,83.06,0,0,203.21,159.97,5.25,0,0.95,18.73,0,15.7,0,3182.27,1907.92,11670.71,70.5,0,3.13,0,0
 24-34,0.88,0,4.92,2.02,0,23.49,481.11,0.67,1.22,13.95,0.71,53.54,0,0.62,0,1.63,0,4.85,50.01,1.72,0,228.41,358.08,0,1.31,0.95,1,0,8.74,0,11.62,508.49,2530.78,74.32,0,7.45,0,1.68
 36-46,0,0,1.23,0.58,0,60.84,525.2,0,8.98,3.37,0,14.59,3.24,0,0,0,1.97,3.47,53.85,0,0.57,155.22,275.47,0,1.26,0.57,0,0,5.12,0,0,174.38,101.06,67.98,0,13.14,0,0
 48-58,0,0,1.59,0,0,59.57,275.34,0,1.56,14.13,0,7.82,0,0,0,0,0,1.91,54.89,0,0.68,223.78,183.83,0,2.66,1.21,0,0,1.83,0.56,0,73.78,1.11,39.53,2.29,9.74,0,8.78
 60-70,0,0,0,0,0,61.13,166.5,0,1.32,17.06,0,6.47,0.63,0,0,0,0,0,69.24,0,2.68,216.67,84.35,0,0,3.1,0.81,1.19,0,0,2.75,60.27,0,16.35,0.69,2.45,2.04,2.91
 72-82,0,0,3.14,5.09,0,59.81,109.27,0,1.39,11.16,0,1.04,3.79,0,0,0,0,0,61.04,4.17,1.64,115.21,58.27,0,0,1.2,0,0,2.05,0,0,37.01,0,4.59,0.85,7.49,2.01,12.95
 84-94,0,0,7.03,0,0,31.17,84.01,0,2.04,20.17,1.36,2.91,0,0,3.01,0,0,3.2,54.5,0,2.51,111.58,45.79,0,0,4.87,0,5.5,2.35,0,0,24.54,0,2.1,0,2.14,0,0
 96-106,0,0,5.35,12.03,0,29.2,85.43,0,2.65,9.65,0,6.54,1.28,0,0.6,0,0.72,0.57,34.07,0,1.01,95.92,86.54,0,0,0.85,10.66,0,0.63,0,0,28.5,0,0.78,2.51,0.64,0,6.55
108-118,0,0,2.19,9.08,2.14,15.29,55.43,0.52,2.47,19.63,0,7.74,0.59,0,0,0,0,0.47,43.37,0,3.68,92.97,48.9,3.75,0,0.54,0,0.86,4.4,0,0,15.47,0,8,0.63,3.26,0,2.84
120,0,0,9.09,0,0,19.54,53.68,0,0,20.77,0,0,0,0,0,0,0,0,44.61,0,1.45,142.79,53.06,0,0,0,0,0,0,0,1.12,10.78,0,0,12.35,2.4,0,0
