stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,mesenchyme,muscle,neural,notochord,otic,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,14.47,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,19.97,0,0,0,0,0,0,0,0
 14-21,1.95,0,0.99,0,0,0,1.09,0,0,5.1,1.78,0,0,1.03,0,0.81,1.67,0
 24-34,0,0,0.88,0,0,0,0,0.75,0,10.18,0,0,0,0,0,0,5.38,0
 36-46,0,0,0.59,0,0,0,0,1.8,0,16.18,1.04,0,0,0,0,0,9.03,0
 48-58,2.93,0,0,0,0,0,0,2.34,0,18.71,0,0,5.02,0,0,0,2.6,0
 60-70,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,5.55,0
 72-82,1.07,0.84,4.49,0,0,0,3.15,2.79,0,3.52,0,0,0,0,0,0,0,0
 84-94,0,0,4.06,0,0,0.75,6.83,9.24,0,4.91,0,0,0.91,0,0,0,0,0
 96-106,0.98,0,3.36,0,0,0,0.84,2.47,0,10.41,0,0,1.76,0,0,0,0,0
108-118,0,0,10.18,0.58,0.56,0,2.52,4.06,3.18,7.72,0,0.5,0,0,0,0,0,0.47
120,0,0,21.82,0,0,5.21,0,29.42,0,0,0,0,0,0,2.07,0,0,0
