stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,15.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,92.02,0,0,0,50.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.5,0,0,0,29.17,0,0,0,12.79,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,356.08,0,0,0,0,0,0,5.28,0.97,0.93,4.83,33.83,0,0,0
 24-34,0,0,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,10.23,0,0,2.68,376.3,0,0,0,0,0,0,0,0,0,2.92,146.06,0,0,0
 36-46,0,0,0,2.12,1.1,0,2.04,0,0,0.6,0,0,0,0,0,0,0.6,0,0,0.84,1256.13,0,0,0,0,0,0.75,0,0,0,0,244.9,0,0,0
 48-58,0,0,0,4.41,0,0,69.27,0,0,0.69,21.38,0,0,0,0,0,7.91,0,2.99,0,1932.92,5.2,0,1.81,0,0,0,0,0,0,0,254.93,0,0,3.36
 60-70,0,0.89,0,5.26,0,0,320.89,0,0,1.48,6.77,0,0,0,0,8.62,3.05,0,0,0.59,1913.2,0,0,0,0,0,4.29,0,0,1.33,0,407.58,0,0,6.34
 72-82,0,0,0,1.78,0,0,539.86,0,0,0,22.48,0,0,0,0.6,0,16.67,0.59,0,1.08,2083.29,0,1.1,1.62,0,0,0.81,0,0,0,0,324.9,1.21,0,0
 84-94,0,0,0,25.52,2.8,0,351.99,0,1.13,0.77,20.86,0.56,1.02,0.75,0,2.4,16.88,0,0,0.74,1309.06,0,0,1.22,0,0,0.56,0,0,0,0,206.2,0,0,3.77
 96-106,0,0,0,7.01,8.56,0,383.68,0.6,0,0,8.95,1.38,0,0,0,9.82,11.16,0,0,2.41,1110.4,0,0,0,0,0,1.56,0,0,0,0,84.71,0,8.99,0
108-118,0,0,0,14.56,0,0,311.66,1.18,0.43,0,20.85,0.82,0,0,0,1.09,7.45,0,0,6.36,1076.71,0,5.82,0,0,3.53,3.67,0,0,0,0,72.25,0,0,0
120,0,0,3.17,1.31,0,14.01,233.75,0,0,0,27.11,0,0,0,1.88,0,10.88,0,0,10.55,1330.24,4.12,0,0,0,0,1.75,0,4.24,0,0,140.75,0,2.66,0
