stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,0,65.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.22,17.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7,0,6.96,5.57,0,0,0,8.39,0,0,0,0,0,0,0,0,67.72,0,0,13.69,0,0,0,0,0,0,0
 10-12,0,15.33,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0,91.13,5.8,0,25.51,0,0,7.7,0,0,0,0
 14-21,0,0,0,0,2.47,0,0,0.85,4.34,0,0,0,0,0,0,0,0,18.25,0,0,0,0,1.01,0,4.33,0,0,0
 24-34,0,0,0,0,3.49,0,0.79,0,14.06,0,0.65,0,0,0,23.67,0,0,40.37,0,0.69,0,0,0,0,8.48,0,4.74,0
 36-46,0,0,0,0,5.5,0,0,0,1.88,0,1.54,0,0,0,39.55,0,0,18.3,0,0,0,0,0,0,5.04,0,0,0
 48-58,0,0,0,0,10.62,4.29,2.25,0.54,0,0,7.86,0,0,1.97,96.22,0,0.62,9.7,0,0,0,1.19,0,0,2.02,0,0,0
 60-70,0,0,0,0,5.13,0,0,2.77,0,0,9.17,0,0,0,56.7,0,0,6.7,0.75,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.15,0,7.12,3.25,0.71,11.44,0.62,0,0.56,0,0,4.71,36.86,0,0.8,12.31,0,0,0,3.08,0,0,0,0,0,0
 84-94,0,0,0,0,3.77,0.61,0.96,53.77,0.6,0.59,0.92,0,0,2.02,57.46,0,0,19.53,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.16,0,8.29,0,8.91,83.49,0,1.26,1.21,0.77,0,0,38.98,0,3.43,1.92,0,0,0,0,0,0,0,0,0,4.6
108-118,0,0,0.92,0,9.36,0,1.17,68.54,0,0,0,0,6.77,6.48,34.64,1.62,0,11.39,0,0.48,0,0,0,0,0,0.71,0,0
120,0,0,18.05,0,4.88,0,0,67.5,0,0,0,0,0,1.61,30.96,0,0,1.42,0,0,0,0,0,0,8.17,0,0,0
