stage,blastomeres,endoderm,epidermis,eye,glial,gut,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord,taste
  5-6,14.99,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,22.42,0,0,0,0,0,0,0
 10-12,0,0,0,3.88,0,0,0,0,0,28.76,0,0,0,0,0,0,0
 14-21,0,1.01,1.91,1.01,0,0,0.92,0,0,12.09,0,0,0,1.31,0,1.79,0
 24-34,0,0,0,2,0,0,0.6,0,0,16.25,0.84,0,0,0,0,4.61,0
 36-46,0,0,0,1.95,0,0,0,0,0,9.36,0,0,0,0,0,1.7,0
 48-58,0,0,0,0.91,0,0,0.7,0,0,2,0,0,0,0,0,0.53,0
 60-70,0,0,0,5.38,0,0,0,0,0,22.47,0,0,0,0,0,0,0
 72-82,0,0,1.17,7.87,1.61,0,1.86,1.4,0.62,9.87,0,1.59,0,0,0,0,0
 84-94,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,5.98,1.38,1,0,0,1.35,2.34,0,0,0,0,1,0,0
108-118,0,0,0.51,2.35,0,0,1.44,0,0,9.26,0,0,0,0,0,0,1.21
